"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","16.202181952755694"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.021447019630422"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.771644019153477"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","15.017134761839262"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.886032730114504"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.943347075407623"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","14.215107902135712"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.415610003033866"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.214877046564597"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.283934183779481"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","13.348458555476764"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.851069645215372"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.655730906098226"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.804828622080626"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.867336256061053"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","12.002207778480265"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.734087247985657"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.994545725233499"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.508406433334557"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.16537024674702"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.154443308828238"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.254637265010842"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.256850129382325"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.361659048189876"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.11575533142641"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.856273275592736"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.333762642208812"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.018299674829333"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.46005723427221"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.599093970776252"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.068771954450666"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.258997243681856"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.543179514126509"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.28337397535361"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.675574217267174"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.61489879574542"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","9.4686773327606133"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.395475297455906"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.180776534324536"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.375249610992528"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.426132225539833"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","10.58022487069338"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","","","Percentage (%)","Units","Normal value","11.525495264467118"
"2002","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.5075"
"2003","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6575"
"2004","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.285"
"2005","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.8225"
"2006","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.665"
"2007","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.96"
"2008","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.2125"
"2009","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.6275"
"2010","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.78"
"2011","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.2125"
"2012","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.4475"
"2013","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.61"
"2014","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8725"
"2015","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4425"
"2016","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2175"
"2017","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.5125"
"2018","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.1575"
"2019","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.255"
"2020","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.745"
"2021","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.245"
"2022","Proportion of youth not in education, employment or training","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.5025"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2722163525827614"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2617189637248938"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6740030922632485"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.5050577439163195"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.5899582421726173"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","9.016011955922302"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","9.088879851985034"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6191849190858179"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.9014826342443598"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.6908238688056896"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2680185588173067"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.527780489408034"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6516036154880016"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.7389251166987059"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6551736378794182"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.716998397415848"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","9.1679746317048743"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.549132560075563"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.9237164041781227"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.9263755258008999"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2553967500755974"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.0555631563329104"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.9502536264609267"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.8929525770358193"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.937389226108202"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.0388545321162193"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.4016214403130078"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.3864803522400768"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.0214269878382796"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.2923564857788294"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.2577032746222763"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.895017052412963"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.0635584388051633"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.968487002304049"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.7671010786282135"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.8013332799439237"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.5762001775754984"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.8084157393111768"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.9154709516261432"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.7563732893305168"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.3577653457195282"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.2174920002615881"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.1245195157980676"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.8935141228905774"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.5632783138277393"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.1604897511808341"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.6993270991212315"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.1610655543821053"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.4198110505233643"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.6759322023871026"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8288581738679905"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.737762850179164"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2419239379789611"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.5943816349715751"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.2553617847029135"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.5722760851237281"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.352768941248808"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.1151567757042882"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.3174981970721786"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.1286452848416948"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2950253384415884"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2263034281288503"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.6834948676681822"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.6994213977980248"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.4377343994112266"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2936719159619763"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.0298746995438623"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4686909960472572"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.8389302861772316"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.6840277049570389"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.9828958607238572"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.8388969625703977"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.5235537153104532"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.306522685604202"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8392543627015505"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4102534414310077"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4241166606454958"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.152445783788036"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.5378405960792336"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.910041869910116"
