Year,Series,Country,Socio-economic group,Units,Unit multiplier,Observation status,Value
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,9.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,9.6999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,10.199999999999999
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,10.199999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,10.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,12.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Managerial and professional occupations,Percentage,Units,Normal value,12.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,15.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,15.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,15.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,16.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,17.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,18.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Intermediate occupations,Percentage,Units,Normal value,19.100000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,24.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,24.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,25.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,25.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,26.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,28.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Routine and manual,Percentage,Units,Normal value,29.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,18.600000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,18.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,20.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,21.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,23.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,"Never worked, long term unemployed, and n.e.c",Percentage,Units,Normal value,24.6
