Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,65+,Percentage,Units,Normal value,11.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,14.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,15.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,15.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,16
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,16.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,17.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,18.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,19.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,21.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,22
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North East,All 18+,Percentage,Units,Normal value,21.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,13.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,14.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,15.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,17.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,18.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,19.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,20.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,24
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,24.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,26.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,18-24,Percentage,Units,Normal value,26.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,15.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,18.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,19.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,19.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,21
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,24.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,24.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,24.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,26.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,25-34,Percentage,Units,Normal value,27.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,18
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,18
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,16.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,16.100000000000001
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,16.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,19.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,21.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,23
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,22.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,24.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,35-44,Percentage,Units,Normal value,26.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,16.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,17.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,15.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,16.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,17.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,19.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,20.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,21.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,22.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,22.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,45-54,Percentage,Units,Normal value,23.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,15.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,16.399999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,15.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,15.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,16
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,16
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,17.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,18
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,19.100000000000001
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,20
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,55-64,Percentage,Units,Normal value,20.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,9.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,8.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,8.8000000000000007
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,8.1999999999999993
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,10.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,9.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,10.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,10.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,11.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,11.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,65+,Percentage,Units,Normal value,10.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,14.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,14.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,14.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,14.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,16.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,16.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,18.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,19.600000000000001
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,20
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,21.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,North West,All 18+,Percentage,Units,Normal value,21.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,13.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,15
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,16.600000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,19.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,21.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,23
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,22.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,25.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,26.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,26.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,18-24,Percentage,Units,Normal value,27.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,19
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,20.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,23.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,22.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,22.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,24.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,26.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,26.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,27.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,28
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,25-34,Percentage,Units,Normal value,30.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,16.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,19.399999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,20.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,19.899999999999999
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,20.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,22.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,23.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,26.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,35-44,Percentage,Units,Normal value,25.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,14.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,16.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,18.100000000000001
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,17.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,18.100000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,20.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,21.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,22.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,23.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,45-54,Percentage,Units,Normal value,22.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,13.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,14
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,12.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,14.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,16
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,16.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,17.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,18
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,16.899999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,20
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,55-64,Percentage,Units,Normal value,19.100000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,9.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,8.6999999999999993
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,8.1999999999999993
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,8.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,8.8000000000000007
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,9.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,10.199999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,10.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,11
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,65+,Percentage,Units,Normal value,10.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,15.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,16.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,17
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,17.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,18.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,19.899999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,20.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,21.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,Yorkshire and The Humber,All 18+,Percentage,Units,Normal value,21.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,14.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East Midlands,18-24,Percentage,Units,Normal value,13.9
