Year,Series,Country,Country of birth,Units,Unit multiplier,Observation status,Value
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,11.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,10.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,11.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,12.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,11.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,13.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Wales,Percentage,Units,Normal value,13
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,6.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,9.6999999999999993
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,11
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,10.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,13.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,18.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,13.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,UK (but do not know the country),Percentage,Units,Normal value,19.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,12
2020,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,13.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,14
2018,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,14.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,15.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,15.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,16.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,England,Other,Percentage,Units,Normal value,16.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,4.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,4.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5.0999999999999996
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,India,Percentage,Units,Normal value,5.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,10.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,12.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,13.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,12.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,12.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,15
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,15.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Republic of Ireland,Percentage,Units,Normal value,17.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,11.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,10.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,9.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,10.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,10
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,10.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,9.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Pakistan,Percentage,Units,Normal value,13.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,20.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,24.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,24.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,25.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,27.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,29.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,31.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Poland,Percentage,Units,Normal value,32.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,13.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,14
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,13.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,14.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,14.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,15.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,17.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,England,Percentage,Units,Normal value,18.100000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,13.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,13.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,14.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,14.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,15.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,17
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,17.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Northern Ireland,Percentage,Units,Normal value,17.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,15.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,16.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,15.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,16.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,16.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,18.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,19.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Scotland,Percentage,Units,Normal value,20.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,13.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,14.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,15.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,15.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,15.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,16.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,17.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Wales,Percentage,Units,Normal value,18.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,5.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,10.199999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,9.6999999999999993
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,12.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,17.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,15.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,UK (but do not know the country),Percentage,Units,Normal value,19.100000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,12
2020,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,13.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,14.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,15.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,15.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,16.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,United Kingdom,Other,Percentage,Units,Normal value,16.8
