"Year","Series","Safely managed element","Service level","Facility type","Urban or rural","Unit measure","Observation status","Value"
2003,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2003,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.69762
2003,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2003,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2003,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2003,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2003,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2003,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.77802
2003,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2003,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2003,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17541
2003,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2003,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2004,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00995
2004,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2004,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2004,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.52986
2004,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2004,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2004,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.28495
2004,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2004,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2004,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.63535
2004,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2004,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2004,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.63488
2004,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2004,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2004,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.52339
2004,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2004,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2004,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.33208
2004,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2004,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2004,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.69907
2004,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2004,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2004,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2004,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2004,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2004,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.79362
2004,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2004,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2004,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17523
2004,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2004,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2005,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.00999
2005,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2005,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2005,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.49645
2005,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2005,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2005,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.31851
2005,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2005,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2005,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.62704
2005,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2005,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2005,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.62658
2005,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2005,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2005,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.55539
2005,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2005,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2005,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.31544
2005,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2005,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2005,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.7005
2005,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2005,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2005,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2005,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2005,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2005,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.80901
2005,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2005,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2005,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17505
2005,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2005,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2006,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.01002
2006,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2006,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2006,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.46327
2006,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2006,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2006,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.35182
2006,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2006,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2006,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.61879
2006,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2006,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2006,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.61833
2006,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94709
2006,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2006,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.58716
2006,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.61352
2006,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.80274
2006,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.29892
2006,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.96491
2006,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.14689
2006,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.70192
2006,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2006,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2006,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2006,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2006,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2006,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.82428
2006,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.50986
2006,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.88951
2006,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17488
2006,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2006,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2007,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.01006
2007,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2007,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2007,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.43056
2007,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2007,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2007,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.38468
2007,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2007,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2007,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.61065
2007,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2007,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2007,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.61027
2007,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94742
2007,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04337
2007,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.6293
2007,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.62332
2007,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.8138
2007,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.27175
2007,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.95478
2007,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.13583
2007,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.70333
2007,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2007,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2007,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2007,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2007,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2007,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.85022
2007,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.51999
2007,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.90057
2007,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.1747
2007,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2007,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2008,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.01009
2008,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2008,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2008,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.39808
2008,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2008,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2008,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.41729
2008,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2008,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2008,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.60257
2008,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2008,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2008,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.60227
2008,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94775
2008,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04338
2008,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.67122
2008,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.63312
2008,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.82485
2008,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.24469
2008,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.94465
2008,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.12477
2008,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.70472
2008,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2008,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2008,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2008,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2008,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2008,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.87606
2008,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.53012
2008,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.91162
2008,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17453
2008,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2008,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2009,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.01013
2009,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2009,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2009,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.36607
2009,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2009,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2009,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.44944
2009,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2009,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2009,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.59461
2009,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2009,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2009,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.59437
2009,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94808
2009,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04338
2009,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.71271
2009,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.64292
2009,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.8359
2009,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.21786
2009,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.93452
2009,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.11371
2009,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.70609
2009,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
2009,"Service level","","Limited service","","Urban","Percentage (%)","Normal value",0.8011
2009,"Service level","","Open defecation",""," ","Percentage (%)","Normal value",0
2009,"Service level","","Open defecation","","Rural","Percentage (%)","Normal value",0
2009,"Service level","","Open defecation","","Urban","Percentage (%)","Normal value",0
2009,"Service level","","Safely managed service",""," ","Percentage (%)","Normal value",97.90169
2009,"Service level","","Safely managed service","","Rural","Percentage (%)","Normal value",93.54025
2009,"Service level","","Safely managed service","","Urban","Percentage (%)","Normal value",98.92268
2009,"Service level","","Unimproved",""," ","Percentage (%)","Normal value",0.17436
2009,"Service level","","Unimproved","","Rural","Percentage (%)","Normal value",0.225
2009,"Service level","","Unimproved","","Urban","Percentage (%)","Normal value",0.1625
2010,"Facility type","","","Improved latrine and other"," ","Percentage (%)","Normal value",0.01016
2010,"Facility type","","","Improved latrine and other","Rural","Percentage (%)","Normal value",0
2010,"Facility type","","","Improved latrine and other","Urban","Percentage (%)","Normal value",0.0125
2010,"Facility type","","","Septic tank"," ","Percentage (%)","Normal value",2.33441
2010,"Facility type","","","Septic tank","Rural","Percentage (%)","Normal value",11.83261
2010,"Facility type","","","Septic tank","Urban","Percentage (%)","Normal value",0.15
2010,"Facility type","","","Sewer"," ","Percentage (%)","Normal value",97.48124
2010,"Facility type","","","Sewer","Rural","Percentage (%)","Normal value",87.94239
2010,"Facility type","","","Sewer","Urban","Percentage (%)","Normal value",99.675
2010,"Safeley managed element","Disposed insitu","",""," ","Percentage (%)","Normal value",0.58674
2010,"Safeley managed element","Disposed insitu","","","Rural","Percentage (%)","Normal value",2.94925
2010,"Safeley managed element","Disposed insitu","","","Urban","Percentage (%)","Normal value",0.0434
2010,"Safeley managed element","Faecal sludge treated","",""," ","Percentage (%)","Normal value",0.58657
2010,"Safeley managed element","Faecal sludge treated","","","Rural","Percentage (%)","Normal value",2.94841
2010,"Safeley managed element","Faecal sludge treated","","","Urban","Percentage (%)","Normal value",0.04339
2010,"Safeley managed element","Sewage treated","",""," ","Percentage (%)","Normal value",96.75386
2010,"Safeley managed element","Sewage treated","","","Rural","Percentage (%)","Normal value",87.65273
2010,"Safeley managed element","Sewage treated","","","Urban","Percentage (%)","Normal value",98.84695
2010,"Service level","","Basic service",""," ","Percentage (%)","Normal value",1.1912
2010,"Service level","","Basic service","","Rural","Percentage (%)","Normal value",5.92439
2010,"Service level","","Basic service","","Urban","Percentage (%)","Normal value",0.10266
2010,"Service level","","Limited service",""," ","Percentage (%)","Normal value",0.70745
2010,"Service level","","Limited service","","Rural","Percentage (%)","Normal value",0.30023
