"Year","Series","Age","Sex","Country","Region","Industry sector","Occupation","Units","Unit multiplier","Observation status","Value"
"2013/14","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","8.68"
"2014/15","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","8.84"
"2015/16","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","7.72"
"2016/17","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","7.31"
"2017/18","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","8.39"
"2018/19","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","9.2100000000000009"
"2019/20","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","6.26"
"2020/21","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","11.38"
"2021/22","Fatal injury","","","","","Agriculture, forestry and fishing","","Rate per 100,000 workers","Units","Normal value","8.01"
"2002/03","Fatal injury","","","","","Manufacturing","","Rate per 100,000 workers","Units","Normal value","1.2"
"2003/04","Fatal injury","","","","","Manufacturing","","Rate per 100,000 workers","Units","Normal value","0.8"
"2004/05","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","1.1200000000000001"
"2005/06","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","1.1000000000000001"
"2006/07","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","1"
"2007/08","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.83"
"2008/09","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.88"
"2009/10","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.86"
"2010/11","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.99"
"2011/12","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","1.07"
"2012/13","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.74"
"2013/14","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.53"
"2014/15","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.62"
"2015/16","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.96"
"2016/17","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.63"
"2017/18","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.52"
"2018/19","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.92"
"2019/20","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.45"
"2020/21","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.69"
"2021/22","Fatal injury","","","","","Manufacturing ","","Rate per 100,000 workers","Units","Normal value","0.81"
"2002/03","Fatal injury","","","","","Construction","","Rate per 100,000 workers","Units","Normal value","3.8"
"2003/04","Fatal injury","","","","","Construction","","Rate per 100,000 workers","Units","Normal value","3.8"
"2004/05","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.95"
"2005/06","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.4900000000000002"
"2006/07","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","3.19"
"2007/08","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.87"
"2008/09","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.04"
"2009/10","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.79"
"2010/11","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.31"
"2011/12","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.25"
"2012/13","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.94"
"2013/14","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.0699999999999998"
"2014/15","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.63"
"2015/16","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","2.12"
"2016/17","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.42"
"2017/18","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.6"
"2018/19","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.36"
"2019/20","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.82"
"2020/21","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.91"
"2021/22","Fatal injury","","","","","Construction ","","Rate per 100,000 workers","Units","Normal value","1.47"
"2002/03","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.3"
"2003/04","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.4"
"2004/05","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2005/06","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.3"
"2006/07","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.35"
"2007/08","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.3"
"2008/09","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.26"
"2009/10","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.14000000000000001"
"2010/11","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.21"
"2011/12","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.18"
"2012/13","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.18"
"2013/14","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.17"
"2014/15","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.2"
"2015/16","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.14000000000000001"
"2016/17","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.14000000000000001"
"2017/18","Fatal injury","","","England","North East","Service industries","","Rate per 100,000 workers","Units","Normal value","0.17"
"2018/19","Fatal injury","","","England","London","Service industries","","Rate per 100,000 workers","Units","Normal value","0.2"
"2019/20","Fatal injury","","","","","Service industries","","Rate per 100,000 workers","Units","Normal value","0.12"
"2020/21","Fatal injury","","","England","London","Service industries","","Rate per 100,000 workers","Units","Normal value","0.16"
"2021/22","Fatal injury","","","England","North East","Service industries","","Rate per 100,000 workers","Units","Normal value","0.17"
"2002/03","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","-"
"2003/04","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","-"
"2004/05","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","2.31"
"2005/06","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","4.28"
"2006/07","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","8.6300000000000008"
"2007/08","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","4.6500000000000004"
"2008/09","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","4.22"
"2009/10","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","4.76"
"2010/11","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","2.94"
"2011/12","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","10.24"
"2012/13","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","1.75"
"2013/14","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","2.39"
"2014/15","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","0.71"
"2015/16","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","1.45"
"2016/17","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","4.0999999999999996"
"2017/18","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","3.35"
"2018/19","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value",""
"2019/20","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value",""
"2020/21","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value",""
"2021/22","Fatal injury","","","","","Mining and Quarrying ","","Rate per 100,000 workers","Units","Normal value","0.8"
"2002/03","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","-"
"2003/04","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","-"
"2004/05","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.91"
"2005/06","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","4.42"
"2006/07","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.61"
"2007/08","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.6"
"2008/09","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","2.16"
"2009/10","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.35"
"2010/11","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.06"
"2011/12","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.46"
"2012/13","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.03"
"2013/14","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.51"
"2014/15","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.55"
"2015/16","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","2.04"
"2016/17","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","4.55"
"2017/18","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","3.06"
"2018/19","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.68"
"2019/20","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.46"
"2020/21","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","1.91"
"2021/22","Fatal injury","","","","","Gas, electricity and water supply; sewerage, waste and recycling ","","Rate per 100,000 workers","Units","Normal value","0.46"
"2014/15","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2014/15","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2014/15","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.09"
"2014/15","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.56999999999999995"
"2014/15","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.6"
"2014/15","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.69"
"2014/15","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.36"
"2014/15","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.18"
"2014/15","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.23"
"2014/15","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.76"
"2014/15","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.72"
"2014/15","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.68"
"2015/16","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2015/16","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2015/16","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.52"
"2015/16","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.5"
"2015/16","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.56999999999999995"
"2015/16","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.54"
"2015/16","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2015/16","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.34"
"2015/16","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.25"
"2015/16","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2015/16","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.93"
"2015/16","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.56000000000000005"
"2016/17","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.41"
"2016/17","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.39"
"2016/17","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.51"
"2016/17","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.32"
"2016/17","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.53"
"2016/17","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.76"
"2016/17","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.32"
"2016/17","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.21"
"2016/17","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.34"
"2016/17","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.36"
"2016/17","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.78"
"2016/17","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.67"
"2017/18","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2017/18","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2017/18","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2017/18","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.49"
"2017/18","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.45"
"2017/18","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.53"
"2017/18","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.21"
"2017/18","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.36"
"2017/18","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.41"
"2017/18","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.91"
"2017/18","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.63"
"2018/19","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.41"
"2018/19","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2018/19","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2018/19","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2018/19","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.61"
"2018/19","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.48"
"2018/19","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.55000000000000004"
"2018/19","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.27"
"2018/19","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.38"
"2018/19","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.48"
"2018/19","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","1.07"
"2019/20","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.31"
"2019/20","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2019/20","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.39"
"2019/20","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2019/20","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2019/20","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.31"
"2019/20","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.15"
"2019/20","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.2"
"2019/20","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2019/20","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","1.04"
"2019/20","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2020/21","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2020/21","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2020/21","Fatal injury","","","England","North East","","","Rate per 100,000 workers","Units","Normal value","0.08"
"2020/21","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.45"
"2020/21","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.68"
"2020/21","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.18"
"2020/21","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.49"
"2020/21","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2020/21","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.83"
"2020/21","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.62"
"2020/21","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.67"
"2021/22","Fatal injury","","","England and Wales","","","","Rate per 100,000 workers","Units","Normal value","0.37"
"2021/22","Fatal injury","","","England","","","","Rate per 100,000 workers","Units","Normal value","0.36"
"2021/22","Fatal injury","","","England","North West","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2021/22","Fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 workers","Units","Normal value","0.3"
"2021/22","Fatal injury","","","England","East Midlands","","","Rate per 100,000 workers","Units","Normal value","0.35"
"2021/22","Fatal injury","","","England","East","","","Rate per 100,000 workers","Units","Normal value","0.41"
"2021/22","Fatal injury","","","England","London","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2021/22","Fatal injury","","","England","South East","","","Rate per 100,000 workers","Units","Normal value","0.31"
"2021/22","Fatal injury","","","England","South West","","","Rate per 100,000 workers","Units","Normal value","0.63"
"2021/22","Fatal injury","","","Wales","","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2021/22","Fatal injury","","","Scotland","","","","Rate per 100,000 workers","Units","Normal value","0.56000000000000005"
"2014/15","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.49"
"2014/15","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2014/15","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.36"
"2014/15","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.27"
"2014/15","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.34"
"2014/15","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.83"
"2014/15","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","2.23"
"2014/15","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.82"
"2014/15","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.03"
"2014/15","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.64"
"2014/15","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.67"
"2014/15","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.49"
"2014/15","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.62"
"2014/15","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.89"
"2014/15","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.25"
"2014/15","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","3.44"
"2014/15","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.06"
"2014/15","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2014/15","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.05"
"2014/15","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2014/15","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2014/15","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.44"
"2015/16","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2015/16","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.21"
"2015/16","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2015/16","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2015/16","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.52"
"2015/16","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.97"
"2015/16","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.8"
"2015/16","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.85"
"2015/16","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.38"
"2015/16","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.4"
