"Year","Series","Bank account category","Sex","Age","Unit measure","Unit multiplier","Observation status","Value"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","25-34","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","35-44","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","45-54","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","55-59","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","60-64","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","65-74","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","75-84","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (including POCAs)","","85+","Percentage (%)","Units","Normal value","9"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","16-24","Percentage (%)","Units","Normal value","8"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","25-34","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","35-44","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","45-54","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","55-59","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","60-64","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","65-74","Percentage (%)","Units","Normal value","6"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","75-84","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","No accounts (excluding POCAs)","","85+","Percentage (%)","Units","Normal value","9"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","16-24","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","25-34","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","35-44","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","45-54","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","55-59","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","60-64","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","65-74","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","75-84","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (including POCAs)","","85+","Percentage (%)","Units","Normal value","89"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","16-24","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","25-34","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","35-44","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","45-54","Percentage (%)","Units","Normal value","94"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","55-59","Percentage (%)","Units","Normal value","95"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","60-64","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","65-74","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","75-84","Percentage (%)","Units","Normal value","92"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Any Direct Payment Account (excluding POCAs)","","85+","Percentage (%)","Units","Normal value","88"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","","Percentage (%)","Units","Normal value","90"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","16-24","Percentage (%)","Units","Normal value","85"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","25-34","Percentage (%)","Units","Normal value","91"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","35-44","Percentage (%)","Units","Normal value","91"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","45-54","Percentage (%)","Units","Normal value","91"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","55-59","Percentage (%)","Units","Normal value","93"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","60-64","Percentage (%)","Units","Normal value","89"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","65-74","Percentage (%)","Units","Normal value","90"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","75-84","Percentage (%)","Units","Normal value","89"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Current account","","85+","Percentage (%)","Units","Normal value","86"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","16-24","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","25-34","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","35-44","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","45-54","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","55-59","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","60-64","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","65-74","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","75-84","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","NS&I Savings Account","","85+","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","16-24","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","25-34","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","35-44","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","45-54","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","55-59","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","60-64","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","65-74","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","75-84","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Basic Bank account","","85+","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","25-34","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","35-44","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","45-54","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","55-59","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","60-64","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","65-74","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","75-84","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Post Office Card Account (POCA)","","85+","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","","Percentage (%)","Units","Normal value","26"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","16-24","Percentage (%)","Units","Normal value","17"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","25-34","Percentage (%)","Units","Normal value","21"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","35-44","Percentage (%)","Units","Normal value","22"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","45-54","Percentage (%)","Units","Normal value","22"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","55-59","Percentage (%)","Units","Normal value","30"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","60-64","Percentage (%)","Units","Normal value","32"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","65-74","Percentage (%)","Units","Normal value","37"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","75-84","Percentage (%)","Units","Normal value","36"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","ISA","","85+","Percentage (%)","Units","Normal value","26"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","","Percentage (%)","Units","Normal value","40"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","16-24","Percentage (%)","Units","Normal value","24"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","25-34","Percentage (%)","Units","Normal value","37"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","35-44","Percentage (%)","Units","Normal value","42"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","45-54","Percentage (%)","Units","Normal value","42"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","55-59","Percentage (%)","Units","Normal value","39"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","60-64","Percentage (%)","Units","Normal value","42"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","65-74","Percentage (%)","Units","Normal value","48"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","75-84","Percentage (%)","Units","Normal value","42"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Other Bank / Building Society account","","85+","Percentage (%)","Units","Normal value","36"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","","Percentage (%)","Units","Normal value","8"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","16-24","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","25-34","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","35-44","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","45-54","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","55-59","Percentage (%)","Units","Normal value","11"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","60-64","Percentage (%)","Units","Normal value","10"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","65-74","Percentage (%)","Units","Normal value","13"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","75-84","Percentage (%)","Units","Normal value","12"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Stocks and shares / member of a Share Club","","85+","Percentage (%)","Units","Normal value","15"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","25-34","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","35-44","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","45-54","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","55-59","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","60-64","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","65-74","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","75-84","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Unit trusts","","85+","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","25-34","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","35-44","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","45-54","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","55-59","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","60-64","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","65-74","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","75-84","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Endowment Policy (not linked)","","85+","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","","Percentage (%)","Units","Normal value","12"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","16-24","Percentage (%)","Units","Normal value","3"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","25-34","Percentage (%)","Units","Normal value","5"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","35-44","Percentage (%)","Units","Normal value","7"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","45-54","Percentage (%)","Units","Normal value","9"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","55-59","Percentage (%)","Units","Normal value","13"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","60-64","Percentage (%)","Units","Normal value","19"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","65-74","Percentage (%)","Units","Normal value","22"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","75-84","Percentage (%)","Units","Normal value","23"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Premium Bonds","","85+","Percentage (%)","Units","Normal value","25"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","25-34","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","35-44","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","45-54","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","55-59","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","60-64","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","65-74","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","75-84","Percentage (%)","Units","Normal value","4"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","National Savings Bonds","","85+","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","25-34","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","35-44","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","45-54","Percentage (%)","Units","Normal value","2"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","55-59","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","60-64","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","65-74","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","75-84","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Company Share Scheme / profit sharing","","85+","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Credit Unions","","","Percentage (%)","Units","Normal value","1"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Credit Unions","","16-24","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Credit Unions","","25-34","Percentage (%)","Units","Normal value","0"
"2020/21","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider","Credit Unions","","35-44","Percentage (%)","Units","Normal value","1"
