"Year","Series","Age","Disposable income decile","Health product or service","Health product or service category","Health product or service sub-category","Tenure category","Tenure sub-category","Occupation category","Observation status","Unit multiplier","Units","Value"
"2020/21","Average weekly household expenditure on health","","","","","","Private rented","Rent paid unfurnished","","Normal value","Units","GBP (£)","4.7"
"2020/21","Average weekly household expenditure on health","","","","","","Private rented","Rent paid furnished","","Normal value","Units","GBP (£)","3.8"
"2020/21","Average weekly household expenditure on health","","","","","","Private rented","","","Normal value","Units","GBP (£)","4.5999999999999996"
"2020/21","Average weekly household expenditure on health","","","","","","","","Large employers and higher managerial","Normal value","Units","GBP (£)","11.8"
"2020/21","Average weekly household expenditure on health","","","","","","","","Higher professional","Normal value","Units","GBP (£)","7.5"
"2020/21","Average weekly household expenditure on health","","","","","","","","Lower managerial and professional","Normal value","Units","GBP (£)","6.8"
"2020/21","Average weekly household expenditure on health","","","","","","","","Intermediate","Normal value","Units","GBP (£)","7.2"
"2020/21","Average weekly household expenditure on health","","","","","","","","Small employers","Normal value","Units","GBP (£)","5.4"
"2020/21","Average weekly household expenditure on health","","","","","","","","Lower supervisory","Normal value","Units","GBP (£)","3.5"
"2020/21","Average weekly household expenditure on health","","","","","","","","Semi-routine","Normal value","Units","GBP (£)","3.3"
"2020/21","Average weekly household expenditure on health","","","","","","","","Routine","Normal value","Units","GBP (£)","3.3"
"2020/21","Average weekly household expenditure on health","","","","","","","","Long term unemployed","Normal value","Units","GBP (£)","2.6"
"2020/21","Average weekly household expenditure on health","","","","","","","","Students","Normal value","Units","GBP (£)","4.0999999999999996"
"2020/21","Average weekly household expenditure on health","","","","","","","","Occupation not stated","Normal value","Units","GBP (£)","7.8"
"2020/21","Average weekly household expenditure on health","29 and under","","","","","","","","Normal value","Units","GBP (£)","3.4"
"2020/21","Average weekly household expenditure on health","30 to 49","","","","","","","","Normal value","Units","GBP (£)","7.6"
"2020/21","Average weekly household expenditure on health","50 to 64","","","","","","","","Normal value","Units","GBP (£)","10.3"
"2020/21","Average weekly household expenditure on health","65 to 74","","","","","","","","Normal value","Units","GBP (£)","12.4"
"2020/21","Average weekly household expenditure on health","75 and over","","","","","","","","Normal value","Units","GBP (£)","10.199999999999999"
"2020/21","Average weekly household expenditure on health","29 and under","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","1.9"
"2020/21","Average weekly household expenditure on health","30 to 49","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","3.8"
"2020/21","Average weekly household expenditure on health","50 to 64","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","4.9000000000000004"
"2020/21","Average weekly household expenditure on health","65 to 74","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","7.4"
"2020/21","Average weekly household expenditure on health","75 and over","","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","5.2"
"2020/21","Average weekly household expenditure on health","29 and under","","Medical products appliances and equipment","Medicines, prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","1.2"
"2020/21","Average weekly household expenditure on health","30 to 49","","Medical products appliances and equipment","Medicines, prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","2.6"
"2020/21","Average weekly household expenditure on health","50 to 64","","Medical products appliances and equipment","Medicines, prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","3.1"
"2020/21","Average weekly household expenditure on health","65 to 74","","Medical products appliances and equipment","Medicines, prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","4.4000000000000004"
"2020/21","Average weekly household expenditure on health","75 and over","","Medical products appliances and equipment","Medicines, prescriptions and healthcare products","","","","","Normal value","Units","GBP (£)","2.8"
"2020/21","Average weekly household expenditure on health","29 and under","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","0.70"
"2020/21","Average weekly household expenditure on health","30 to 49","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.3"
"2020/21","Average weekly household expenditure on health","50 to 64","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.9"
"2020/21","Average weekly household expenditure on health","65 to 74","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","3"
"2020/21","Average weekly household expenditure on health","75 and over","","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","2.4"
"2020/21","Average weekly household expenditure on health","29 and under","","Hospital services","","","","","","Normal value","Units","GBP (£)","1.5"
"2020/21","Average weekly household expenditure on health","30 to 49","","Hospital services","","","","","","Normal value","Units","GBP (£)","3.8"
"2020/21","Average weekly household expenditure on health","50 to 64","","Hospital services","","","","","","Normal value","Units","GBP (£)","5.3"
"2020/21","Average weekly household expenditure on health","65 to 74","","Hospital services","","","","","","Normal value","Units","GBP (£)","5"
"2020/21","Average weekly household expenditure on health","75 and over","","Hospital services","","","","","","Normal value","Units","GBP (£)","5"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","","","","","","","Normal value","Units","GBP (£)","4.8"
"2020/21","Average weekly household expenditure on health","","Second","","","","","","","Normal value","Units","GBP (£)","3.8"
"2020/21","Average weekly household expenditure on health","","Third","","","","","","","Normal value","Units","GBP (£)","8.3000000000000007"
"2020/21","Average weekly household expenditure on health","","Fourth","","","","","","","Normal value","Units","GBP (£)","8.5"
"2020/21","Average weekly household expenditure on health","","Fifth","","","","","","","Normal value","Units","GBP (£)","8.1999999999999993"
"2020/21","Average weekly household expenditure on health","","Sixth","","","","","","","Normal value","Units","GBP (£)","8.5"
"2020/21","Average weekly household expenditure on health","","Seventh","","","","","","","Normal value","Units","GBP (£)","8.6"
"2020/21","Average weekly household expenditure on health","","Eighth","","","","","","","Normal value","Units","GBP (£)","7.8"
"2020/21","Average weekly household expenditure on health","","Ninth","","","","","","","Normal value","Units","GBP (£)","12.8"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","","","","","","","Normal value","Units","GBP (£)","19.600000000000001"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","2"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","1.9"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","4.5"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","4"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","6.1"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","4.0999999999999996"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","5.5"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","3.7"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","7.6"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","","","","","","Normal value","Units","GBP (£)","7.8"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","1.4"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","1.4"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","1.6"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","2.4"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","5.3"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","2.8"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","3"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","2.6"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","3.4"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","GBP (£)","5"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Low reliability","Units","GBP (£)","0.60"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Low reliability","Units","GBP (£)","0.50"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","2.9"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.6"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","0.8"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.3"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","2.5"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","1.1000000000000001"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","4.2"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","GBP (£)","2.8"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Hospital services","","","","","","Normal value","Units","GBP (£)","2.8"
"2020/21","Average weekly household expenditure on health","","Second","Hospital services","","","","","","Normal value","Units","GBP (£)","1.9"
"2020/21","Average weekly household expenditure on health","","Third","Hospital services","","","","","","Normal value","Units","GBP (£)","3.8"
"2020/21","Average weekly household expenditure on health","","Fourth","Hospital services","","","","","","Normal value","Units","GBP (£)","4.5999999999999996"
"2020/21","Average weekly household expenditure on health","","Fifth","Hospital services","","","","","","Normal value","Units","GBP (£)","2.1"
"2020/21","Average weekly household expenditure on health","","Sixth","Hospital services","","","","","","Normal value","Units","GBP (£)","4.4000000000000004"
"2020/21","Average weekly household expenditure on health","","Seventh","Hospital services","","","","","","Normal value","Units","GBP (£)","3.1"
"2020/21","Average weekly household expenditure on health","","Eighth","Hospital services","","","","","","Normal value","Units","GBP (£)","4.0999999999999996"
"2020/21","Average weekly household expenditure on health","","Ninth","Hospital services","","","","","","Normal value","Units","GBP (£)","5.3"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Hospital services","","","","","","Normal value","Units","GBP (£)","11.8"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.8"
"2020/21","Average weekly household expenditure on health","","Second","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.4"
"2020/21","Average weekly household expenditure on health","","Third","","","","","","","Normal value","Units","Percentage of total expenditure (%)","2.4"
"2020/21","Average weekly household expenditure on health","","Fourth","","","","","","","Normal value","Units","Percentage of total expenditure (%)","2"
"2020/21","Average weekly household expenditure on health","","Fifth","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.7"
"2020/21","Average weekly household expenditure on health","","Sixth","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.6"
"2020/21","Average weekly household expenditure on health","","Seventh","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.5"
"2020/21","Average weekly household expenditure on health","","Eighth","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.2"
"2020/21","Average weekly household expenditure on health","","Ninth","","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.6"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","","","","","","","Normal value","Units","Percentage of total expenditure (%)","2"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.8"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.7"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.3"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","1"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.3"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.8"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","1"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.6"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","1"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.8"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.6"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","1.1000000000000001"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.4"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.4"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","Medicines, prescriptions and healthcare products ","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Low reliability","Units","Percentage of total expenditure (%)","0.2"
"2020/21","Average weekly household expenditure on health","","Second","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Low reliability","Units","Percentage of total expenditure (%)","0.2"
"2020/21","Average weekly household expenditure on health","","Third","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.8"
"2020/21","Average weekly household expenditure on health","","Fourth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.4"
"2020/21","Average weekly household expenditure on health","","Fifth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.2"
"2020/21","Average weekly household expenditure on health","","Sixth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.2"
"2020/21","Average weekly household expenditure on health","","Seventh","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.4"
"2020/21","Average weekly household expenditure on health","","Eighth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.2"
"2020/21","Average weekly household expenditure on health","","Ninth","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Medical products appliances and equipment","Spectacles lenses accessories and repairs","","","","","Normal value","Units","Percentage of total expenditure (%)","0.3"
"2020/21","Average weekly household expenditure on health","","Lowest ten percent","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.1000000000000001"
"2020/21","Average weekly household expenditure on health","","Second","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.7"
"2020/21","Average weekly household expenditure on health","","Third","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.1000000000000001"
"2020/21","Average weekly household expenditure on health","","Fourth","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.1000000000000001"
"2020/21","Average weekly household expenditure on health","","Fifth","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.4"
"2020/21","Average weekly household expenditure on health","","Sixth","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.8"
"2020/21","Average weekly household expenditure on health","","Seventh","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.5"
"2020/21","Average weekly household expenditure on health","","Eighth","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.6"
"2020/21","Average weekly household expenditure on health","","Ninth","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","0.7"
"2020/21","Average weekly household expenditure on health","","Highest ten percent","Hospital services","","","","","","Normal value","Units","Percentage of total expenditure (%)","1.2"
"2020/21","Average weekly household expenditure on health","","","","","","","","","Normal value","Units","Percentage of total expenditure (%)","2"
