"Year","Series","Cause of death","Country","Sex","Observation status","Unit multiplier","Units","GeoCode","Value"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","2"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","2"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","91"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","4"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","1"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","89"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","2"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","2"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","3"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","86"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","1"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","5"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","1"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","78"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","2"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","5"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","2"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","86"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","3"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","1"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","99"
2007,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","2"
2007,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","7"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","3"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","106"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","2"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","5"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","1"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","116"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","1"
2009,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","6"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","129"
2010,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","1"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","76"
2011,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","2"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","","Normal value","","Number","K04000001","4"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","","Normal value","","Number","K04000001","74"
2012,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of lightning","","","Normal value","","Number","K04000001","1"
2012,"Number of deaths from exposure to forces of nature","Victim of earthquake","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of flood","","","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","","Normal value","","Number","K04000001","3"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","118"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","England","","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","","Normal value","","Number","E92000001","2"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","81"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","England","","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","","Normal value","","Number","E92000001","3"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","87"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","2"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","England","","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","","Normal value","","Number","E92000001","2"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","3"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","79"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","1"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","England","","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","","Normal value","","Number","E92000001","5"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","1"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","77"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","","Normal value","","Number","E92000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","England","","Normal value","","Number","E92000001","2"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","","Normal value","","Number","E92000001","4"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","","Normal value","","Number","E92000001","2"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","","Normal value","","Number","E92000001","83"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","","Normal value","","Number","E92000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","England","","Normal value","","Number","E92000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","","Normal value","","Number","E92000001","0"
