PHE_Centre,Local_Authority,Area_Code_GSS,Alcohol_dependent,Alcohol_lower_CI,Alcohol_upper_CI,Year
Yorkshire & the Humber,North Yorkshire,E10000023,5457,4409,7086,2015/16
Yorkshire & the Humber,Rotherham,E08000018,3503,2840,4534,2015/16
Yorkshire & the Humber,Sheffield,E08000019,6963,5693,8852,2015/16
Yorkshire & the Humber,Wakefield,E08000036,4154,3397,5278,2015/16
Yorkshire & the Humber,York,E06000014,2373,1888,3195,2015/16
England,England,E92000001,595856,494921,760656,2015/16
NA,Barking and Dagenham,E09000002,2073,NA,NA,2010
NA,Barking and Dagenham,E09000002,2073,NA,NA,2011
NA,Barking and Dagenham,E09000002,2061,NA,NA,2012
NA,Barking and Dagenham,E09000002,2122,NA,NA,2013
NA,Barking and Dagenham,E09000002,2125,NA,NA,2014
NA,Barnet,E09000003,3042,NA,NA,2010
NA,Barnet,E09000003,3057,NA,NA,2011
NA,Barnet,E09000003,3040,NA,NA,2012
NA,Barnet,E09000003,3095,NA,NA,2013
NA,Barnet,E09000003,3114,NA,NA,2014
NA,Barnsley,E08000016,3454,NA,NA,2010
NA,Barnsley,E08000016,3472,NA,NA,2011
NA,Barnsley,E08000016,3475,NA,NA,2012
NA,Barnsley,E08000016,3549,NA,NA,2013
NA,Barnsley,E08000016,3555,NA,NA,2014
NA,Bath and North East Somerset,E06000022,1667,NA,NA,2010
NA,Bath and North East Somerset,E06000022,1667,NA,NA,2011
NA,Bath and North East Somerset,E06000022,1682,NA,NA,2012
NA,Bath and North East Somerset,E06000022,1732,NA,NA,2013
NA,Bath and North East Somerset,E06000022,1719,NA,NA,2014
NA,Bedford,E06000055,1434,NA,NA,2010
NA,Bedford,E06000055,1431,NA,NA,2011
NA,Bedford,E06000055,1435,NA,NA,2012
NA,Bedford,E06000055,1455,NA,NA,2013
NA,Bedford,E06000055,1443,NA,NA,2014
NA,Bexley,E09000004,2010,NA,NA,2010
NA,Bexley,E09000004,2017,NA,NA,2011
NA,Bexley,E09000004,2016,NA,NA,2012
NA,Bexley,E09000004,2023,NA,NA,2013
NA,Bexley,E09000004,2027,NA,NA,2014
NA,Birmingham,E08000025,13177,NA,NA,2010
NA,Birmingham,E08000025,13113,NA,NA,2011
NA,Birmingham,E08000025,13086,NA,NA,2012
NA,Birmingham,E08000025,13619,NA,NA,2013
NA,Birmingham,E08000025,13603,NA,NA,2014
NA,Blackburn with Darwen,E06000008,2452,NA,NA,2010
NA,Blackburn with Darwen,E06000008,2445,NA,NA,2011
NA,Blackburn with Darwen,E06000008,2420,NA,NA,2012
NA,Blackburn with Darwen,E06000008,2604,NA,NA,2013
NA,Blackburn with Darwen,E06000008,2628,NA,NA,2014
NA,Blackpool,E06000009,4006,NA,NA,2010
NA,Blackpool,E06000009,3958,NA,NA,2011
NA,Blackpool,E06000009,3991,NA,NA,2012
NA,Blackpool,E06000009,4269,NA,NA,2013
NA,Blackpool,E06000009,4305,NA,NA,2014
NA,Bolton,E08000001,3662,NA,NA,2010
NA,Bolton,E08000001,3649,NA,NA,2011
NA,Bolton,E08000001,3617,NA,NA,2012
NA,Bolton,E08000001,3811,NA,NA,2013
NA,Bolton,E08000001,3768,NA,NA,2014
NA,Bournemouth,E06000028,2987,NA,NA,2010
NA,Bournemouth,E06000028,2949,NA,NA,2011
NA,Bournemouth,E06000028,2946,NA,NA,2012
NA,Bournemouth,E06000028,2986,NA,NA,2013
NA,Bournemouth,E06000028,2988,NA,NA,2014
NA,Bracknell Forest,E06000036,791,NA,NA,2010
NA,Bracknell Forest,E06000036,798,NA,NA,2011
NA,Bracknell Forest,E06000036,795,NA,NA,2012
NA,Bracknell Forest,E06000036,810,NA,NA,2013
NA,Bracknell Forest,E06000036,809,NA,NA,2014
NA,Bradford,E08000032,6009,NA,NA,2010
NA,Bradford,E08000032,6005,NA,NA,2011
NA,Bradford,E08000032,5989,NA,NA,2012
NA,Bradford,E08000032,6281,NA,NA,2013
NA,Bradford,E08000032,6275,NA,NA,2014
NA,Brent,E09000005,3142,NA,NA,2010
NA,Brent,E09000005,3103,NA,NA,2011
NA,Brent,E09000005,3127,NA,NA,2012
NA,Brent,E09000005,3227,NA,NA,2013
NA,Brent,E09000005,3181,NA,NA,2014
NA,Brighton and Hove,E06000043,4372,NA,NA,2010
NA,Brighton and Hove,E06000043,4420,NA,NA,2011
NA,Brighton and Hove,E06000043,4373,NA,NA,2012
NA,Brighton and Hove,E06000043,4513,NA,NA,2013
NA,Brighton and Hove,E06000043,4455,NA,NA,2014
NA,"Bristol, City of",E06000023,6420,NA,NA,2010
NA,"Bristol, City of",E06000023,6358,NA,NA,2011
NA,"Bristol, City of",E06000023,6311,NA,NA,2012
NA,"Bristol, City of",E06000023,6611,NA,NA,2013
NA,"Bristol, City of",E06000023,6572,NA,NA,2014
NA,Bromley,E09000006,2513,NA,NA,2010
NA,Bromley,E09000006,2505,NA,NA,2011
NA,Bromley,E09000006,2498,NA,NA,2012
NA,Bromley,E09000006,2537,NA,NA,2013
NA,Bromley,E09000006,2528,NA,NA,2014
NA,Buckinghamshire,E10000002,3420,NA,NA,2010
NA,Buckinghamshire,E10000002,3411,NA,NA,2011
NA,Buckinghamshire,E10000002,3412,NA,NA,2012
NA,Buckinghamshire,E10000002,3452,NA,NA,2013
NA,Buckinghamshire,E10000002,3488,NA,NA,2014
NA,Bury,E08000002,2104,NA,NA,2010
NA,Bury,E08000002,2104,NA,NA,2011
NA,Bury,E08000002,2096,NA,NA,2012
NA,Bury,E08000002,2160,NA,NA,2013
NA,Bury,E08000002,2147,NA,NA,2014
NA,Calderdale,E08000033,2235,NA,NA,2010
NA,Calderdale,E08000033,2234,NA,NA,2011
NA,Calderdale,E08000033,2219,NA,NA,2012
NA,Calderdale,E08000033,2273,NA,NA,2013
NA,Calderdale,E08000033,2253,NA,NA,2014
NA,Cambridgeshire,E10000003,5494,NA,NA,2010
NA,Cambridgeshire,E10000003,5483,NA,NA,2011
NA,Cambridgeshire,E10000003,5488,NA,NA,2012
NA,Cambridgeshire,E10000003,5595,NA,NA,2013
NA,Cambridgeshire,E10000003,5578,NA,NA,2014
NA,Camden,E09000007,3195,NA,NA,2010
NA,Camden,E09000007,3187,NA,NA,2011
NA,Camden,E09000007,3171,NA,NA,2012
NA,Camden,E09000007,3297,NA,NA,2013
NA,Camden,E09000007,3277,NA,NA,2014
NA,Central Bedfordshire,E06000056,1930,NA,NA,2010
NA,Central Bedfordshire,E06000056,1930,NA,NA,2011
NA,Central Bedfordshire,E06000056,1937,NA,NA,2012
NA,Central Bedfordshire,E06000056,1953,NA,NA,2013
NA,Central Bedfordshire,E06000056,1966,NA,NA,2014
NA,Cheshire East,E06000049,3360,NA,NA,2010
NA,Cheshire East,E06000049,3358,NA,NA,2011
NA,Cheshire East,E06000049,3338,NA,NA,2012
NA,Cheshire East,E06000049,3421,NA,NA,2013
NA,Cheshire East,E06000049,3427,NA,NA,2014
NA,Cheshire West and Chester,E06000050,3360,NA,NA,2010
NA,Cheshire West and Chester,E06000050,3368,NA,NA,2011
NA,Cheshire West and Chester,E06000050,3368,NA,NA,2012
NA,Cheshire West and Chester,E06000050,3438,NA,NA,2013
NA,Cheshire West and Chester,E06000050,3479,NA,NA,2014
NA,City of London,E09000001,75,NA,NA,2010
NA,City of London,E09000001,88,NA,NA,2011
NA,City of London,E09000001,92,NA,NA,2012
NA,City of London,E09000001,77,NA,NA,2013
NA,City of London,E09000001,90,NA,NA,2014
NA,Cornwall & Isles of Scilly,E0999,6438,NA,NA,2010
NA,Cornwall & Isles of Scilly,E0999,6399,NA,NA,2011
NA,Cornwall & Isles of Scilly,E0999,6382,NA,NA,2012
NA,Cornwall & Isles of Scilly,E0999,6565,NA,NA,2013
NA,Cornwall & Isles of Scilly,E0999,6589,NA,NA,2014
NA,County Durham,E06000047,6984,NA,NA,2010
NA,County Durham,E06000047,6972,NA,NA,2011
NA,County Durham,E06000047,6958,NA,NA,2012
NA,County Durham,E06000047,7237,NA,NA,2013
NA,County Durham,E06000047,7136,NA,NA,2014
NA,Coventry,E08000026,4635,NA,NA,2010
NA,Coventry,E08000026,4583,NA,NA,2011
NA,Coventry,E08000026,4620,NA,NA,2012
NA,Coventry,E08000026,4783,NA,NA,2013
NA,Coventry,E08000026,4770,NA,NA,2014
NA,Croydon,E09000008,3090,NA,NA,2010
NA,Croydon,E09000008,3078,NA,NA,2011
NA,Croydon,E09000008,3089,NA,NA,2012
NA,Croydon,E09000008,3181,NA,NA,2013
NA,Croydon,E09000008,3068,NA,NA,2014
NA,Cumbria,E10000006,5598,NA,NA,2010
NA,Cumbria,E10000006,5625,NA,NA,2011
NA,Cumbria,E10000006,5628,NA,NA,2012
NA,Cumbria,E10000006,5836,NA,NA,2013
NA,Cumbria,E10000006,5834,NA,NA,2014
NA,Darlington,E06000005,1346,NA,NA,2010
NA,Darlington,E06000005,1350,NA,NA,2011
NA,Darlington,E06000005,1357,NA,NA,2012
NA,Darlington,E06000005,1407,NA,NA,2013
NA,Darlington,E06000005,1399,NA,NA,2014
NA,Derby,E06000015,3111,NA,NA,2010
NA,Derby,E06000015,3079,NA,NA,2011
NA,Derby,E06000015,3086,NA,NA,2012
NA,Derby,E06000015,3193,NA,NA,2013
NA,Derby,E06000015,3222,NA,NA,2014
NA,Derbyshire,E10000007,8297,NA,NA,2010
NA,Derbyshire,E10000007,8261,NA,NA,2011
NA,Derbyshire,E10000007,8262,NA,NA,2012
NA,Derbyshire,E10000007,8486,NA,NA,2013
NA,Derbyshire,E10000007,8534,NA,NA,2014
NA,Devon,E10000008,6991,NA,NA,2010
NA,Devon,E10000008,6961,NA,NA,2011
NA,Devon,E10000008,6956,NA,NA,2012
NA,Devon,E10000008,7166,NA,NA,2013
NA,Devon,E10000008,7095,NA,NA,2014
NA,Doncaster,E08000017,3902,NA,NA,2010
NA,Doncaster,E08000017,3929,NA,NA,2011
NA,Doncaster,E08000017,3895,NA,NA,2012
NA,Doncaster,E08000017,3976,NA,NA,2013
NA,Doncaster,E08000017,3938,NA,NA,2014
NA,Dorset,E10000009,3461,NA,NA,2010
NA,Dorset,E10000009,3472,NA,NA,2011
NA,Dorset,E10000009,3437,NA,NA,2012
NA,Dorset,E10000009,3469,NA,NA,2013
NA,Dorset,E10000009,3492,NA,NA,2014
NA,Dudley,E08000027,3732,NA,NA,2010
NA,Dudley,E08000027,3747,NA,NA,2011
NA,Dudley,E08000027,3731,NA,NA,2012
NA,Dudley,E08000027,3867,NA,NA,2013
NA,Dudley,E08000027,3863,NA,NA,2014
NA,Ealing,E09000009,3424,NA,NA,2010
NA,Ealing,E09000009,3423,NA,NA,2011
NA,Ealing,E09000009,3369,NA,NA,2012
NA,Ealing,E09000009,3497,NA,NA,2013
NA,Ealing,E09000009,3499,NA,NA,2014
NA,East Riding of Yorkshire,E06000011,2843,NA,NA,2010
NA,East Riding of Yorkshire,E06000011,2825,NA,NA,2011
NA,East Riding of Yorkshire,E06000011,2819,NA,NA,2012
NA,East Riding of Yorkshire,E06000011,2875,NA,NA,2013
NA,East Riding of Yorkshire,E06000011,2888,NA,NA,2014
NA,East Sussex,E10000011,5219,NA,NA,2010
NA,East Sussex,E10000011,5201,NA,NA,2011
NA,East Sussex,E10000011,5207,NA,NA,2012
NA,East Sussex,E10000011,5316,NA,NA,2013
NA,East Sussex,E10000011,5297,NA,NA,2014
NA,Enfield,E09000010,2807,NA,NA,2010
NA,Enfield,E09000010,2833,NA,NA,2011
NA,Enfield,E09000010,2810,NA,NA,2012
NA,Enfield,E09000010,2851,NA,NA,2013
NA,Enfield,E09000010,2845,NA,NA,2014
NA,Essex,E10000012,12002,NA,NA,2010
NA,Essex,E10000012,12019,NA,NA,2011
NA,Essex,E10000012,11977,NA,NA,2012
NA,Essex,E10000012,12210,NA,NA,2013
NA,Essex,E10000012,12205,NA,NA,2014
NA,Gateshead,E08000037,2893,NA,NA,2010
NA,Gateshead,E08000037,2889,NA,NA,2011
NA,Gateshead,E08000037,2891,NA,NA,2012
NA,Gateshead,E08000037,3016,NA,NA,2013
NA,Gateshead,E08000037,3007,NA,NA,2014
NA,Gloucestershire,E10000013,5171,NA,NA,2010
NA,Gloucestershire,E10000013,5146,NA,NA,2011
NA,Gloucestershire,E10000013,5127,NA,NA,2012
NA,Gloucestershire,E10000013,5194,NA,NA,2013
NA,Gloucestershire,E10000013,5194,NA,NA,2014
NA,Greenwich,E09000011,2945,NA,NA,2010
NA,Greenwich,E09000011,2908,NA,NA,2011
NA,Greenwich,E09000011,2882,NA,NA,2012
NA,Greenwich,E09000011,2945,NA,NA,2013
NA,Greenwich,E09000011,2914,NA,NA,2014
NA,Hackney,E09000012,3594,NA,NA,2010
NA,Hackney,E09000012,3588,NA,NA,2011
NA,Hackney,E09000012,3581,NA,NA,2012
NA,Hackney,E09000012,3724,NA,NA,2013
NA,Hackney,E09000012,3716,NA,NA,2014
NA,Halton,E06000006,1846,NA,NA,2010
NA,Halton,E06000006,1851,NA,NA,2011
NA,Halton,E06000006,1843,NA,NA,2012
NA,Halton,E06000006,1932,NA,NA,2013
NA,Halton,E06000006,1889,NA,NA,2014
NA,Hammersmith and Fulham,E09000013,2528,NA,NA,2010
NA,Hammersmith and Fulham,E09000013,2507,NA,NA,2011
NA,Hammersmith and Fulham,E09000013,2508,NA,NA,2012
NA,Hammersmith and Fulham,E09000013,2607,NA,NA,2013
NA,Hammersmith and Fulham,E09000013,2583,NA,NA,2014
NA,Hampshire,E10000014,9871,NA,NA,2010
NA,Hampshire,E10000014,9868,NA,NA,2011
NA,Hampshire,E10000014,9806,NA,NA,2012
NA,Hampshire,E10000014,10033,NA,NA,2013
NA,Hampshire,E10000014,9980,NA,NA,2014
NA,Haringey,E09000014,3130,NA,NA,2010
NA,Haringey,E09000014,3156,NA,NA,2011
NA,Haringey,E09000014,3121,NA,NA,2012
NA,Haringey,E09000014,3198,NA,NA,2013
NA,Haringey,E09000014,3195,NA,NA,2014
NA,Harrow,E09000015,1582,NA,NA,2010
NA,Harrow,E09000015,1578,NA,NA,2011
NA,Harrow,E09000015,1577,NA,NA,2012
NA,Harrow,E09000015,1615,NA,NA,2013
NA,Harrow,E09000015,1607,NA,NA,2014
NA,Hartlepool,E06000001,1187,NA,NA,2010
NA,Hartlepool,E06000001,1194,NA,NA,2011
NA,Hartlepool,E06000001,1192,NA,NA,2012
NA,Hartlepool,E06000001,1227,NA,NA,2013
NA,Hartlepool,E06000001,1226,NA,NA,2014
NA,Havering,E09000016,2158,NA,NA,2010
NA,Havering,E09000016,2156,NA,NA,2011
NA,Havering,E09000016,2146,NA,NA,2012
NA,Havering,E09000016,2186,NA,NA,2013
NA,Havering,E09000016,2189,NA,NA,2014
NA,"Herefordshire, County of",E06000019,1678,NA,NA,2010
NA,"Herefordshire, County of",E06000019,1677,NA,NA,2011
NA,"Herefordshire, County of",E06000019,1681,NA,NA,2012
NA,"Herefordshire, County of",E06000019,1693,NA,NA,2013
NA,"Herefordshire, County of",E06000019,1695,NA,NA,2014
NA,Hertfordshire,E10000015,8684,NA,NA,2010
NA,Hertfordshire,E10000015,8689,NA,NA,2011
NA,Hertfordshire,E10000015,8563,NA,NA,2012
NA,Hertfordshire,E10000015,8636,NA,NA,2013
NA,Hertfordshire,E10000015,8661,NA,NA,2014
NA,Hillingdon,E09000017,2722,NA,NA,2010
NA,Hillingdon,E09000017,2729,NA,NA,2011
NA,Hillingdon,E09000017,2713,NA,NA,2012
NA,Hillingdon,E09000017,2789,NA,NA,2013
NA,Hillingdon,E09000017,2790,NA,NA,2014
NA,Hounslow,E09000018,2541,NA,NA,2010
NA,Hounslow,E09000018,2515,NA,NA,2011
NA,Hounslow,E09000018,2500,NA,NA,2012
NA,Hounslow,E09000018,2558,NA,NA,2013
NA,Hounslow,E09000018,2579,NA,NA,2014
NA,Isle of Wight,E06000046,1456,NA,NA,2010
NA,Isle of Wight,E06000046,1466,NA,NA,2011
NA,Isle of Wight,E06000046,1466,NA,NA,2012
NA,Isle of Wight,E06000046,1501,NA,NA,2013
NA,Isle of Wight,E06000046,1513,NA,NA,2014
NA,Islington,E09000019,3566,NA,NA,2010
NA,Islington,E09000019,3561,NA,NA,2011
NA,Islington,E09000019,3564,NA,NA,2012
NA,Islington,E09000019,3722,NA,NA,2013
NA,Islington,E09000019,3674,NA,NA,2014
NA,Kensington and Chelsea,E09000020,1710,NA,NA,2010
NA,Kensington and Chelsea,E09000020,1709,NA,NA,2011
NA,Kensington and Chelsea,E09000020,1708,NA,NA,2012
NA,Kensington and Chelsea,E09000020,1752,NA,NA,2013
NA,Kensington and Chelsea,E09000020,1738,NA,NA,2014
NA,Kent,E10000016,13790,NA,NA,2010
NA,Kent,E10000016,13813,NA,NA,2011
NA,Kent,E10000016,13800,NA,NA,2012
NA,Kent,E10000016,14066,NA,NA,2013
NA,Kent,E10000016,14052,NA,NA,2014
NA,"Kingston upon Hull, City of",E06000010,4648,NA,NA,2010
NA,"Kingston upon Hull, City of",E06000010,4669,NA,NA,2011
NA,"Kingston upon Hull, City of",E06000010,4606,NA,NA,2012
NA,"Kingston upon Hull, City of",E06000010,4840,NA,NA,2013
NA,"Kingston upon Hull, City of",E06000010,4814,NA,NA,2014
NA,Kingston upon Thames,E09000021,1329,NA,NA,2010
NA,Kingston upon Thames,E09000021,1318,NA,NA,2011
NA,Kingston upon Thames,E09000021,1315,NA,NA,2012
NA,Kingston upon Thames,E09000021,1334,NA,NA,2013
NA,Kingston upon Thames,E09000021,1320,NA,NA,2014
NA,Kirklees,E08000034,4495,NA,NA,2010
NA,Kirklees,E08000034,4477,NA,NA,2011
NA,Kirklees,E08000034,4477,NA,NA,2012
NA,Kirklees,E08000034,4602,NA,NA,2013
NA,Kirklees,E08000034,4588,NA,NA,2014
NA,Knowsley,E08000011,2658,NA,NA,2010
NA,Knowsley,E08000011,2648,NA,NA,2011
NA,Knowsley,E08000011,2673,NA,NA,2012
NA,Knowsley,E08000011,2801,NA,NA,2013
NA,Knowsley,E08000011,2810,NA,NA,2014
NA,Lambeth,E09000022,4605,NA,NA,2010
NA,Lambeth,E09000022,4581,NA,NA,2011
NA,Lambeth,E09000022,4567,NA,NA,2012
NA,Lambeth,E09000022,4660,NA,NA,2013
NA,Lambeth,E09000022,4701,NA,NA,2014
NA,Lancashire,E10000017,13916,NA,NA,2010
NA,Lancashire,E10000017,13786,NA,NA,2011
NA,Lancashire,E10000017,13708,NA,NA,2012
NA,Lancashire,E10000017,14261,NA,NA,2013
NA,Lancashire,E10000017,14199,NA,NA,2014
NA,Leeds,E08000035,10230,NA,NA,2010
NA,Leeds,E08000035,10257,NA,NA,2011
NA,Leeds,E08000035,10199,NA,NA,2012
NA,Leeds,E08000035,10608,NA,NA,2013
NA,Leeds,E08000035,10534,NA,NA,2014
NA,Leicester,E06000016,3870,NA,NA,2010
NA,Leicester,E06000016,3868,NA,NA,2011
NA,Leicester,E06000016,3841,NA,NA,2012
NA,Leicester,E06000016,3942,NA,NA,2013
NA,Leicester,E06000016,3914,NA,NA,2014
NA,Leicestershire,E10000018,5147,NA,NA,2010
NA,Leicestershire,E10000018,5137,NA,NA,2011
NA,Leicestershire,E10000018,5115,NA,NA,2012
NA,Leicestershire,E10000018,5216,NA,NA,2013
NA,Leicestershire,E10000018,5180,NA,NA,2014
NA,Lewisham,E09000023,3390,NA,NA,2010
NA,Lewisham,E09000023,3395,NA,NA,2011
NA,Lewisham,E09000023,3366,NA,NA,2012
NA,Lewisham,E09000023,3452,NA,NA,2013
NA,Lewisham,E09000023,3481,NA,NA,2014
NA,Lincolnshire,E10000019,6709,NA,NA,2010
NA,Lincolnshire,E10000019,6703,NA,NA,2011
NA,Lincolnshire,E10000019,6718,NA,NA,2012
NA,Lincolnshire,E10000019,6848,NA,NA,2013
NA,Lincolnshire,E10000019,6807,NA,NA,2014
NA,Liverpool,E08000012,10840,NA,NA,2010
NA,Liverpool,E08000012,10793,NA,NA,2011
NA,Liverpool,E08000012,10835,NA,NA,2012
NA,Liverpool,E08000012,11380,NA,NA,2013
NA,Liverpool,E08000012,11458,NA,NA,2014
NA,Luton,E06000032,2181,NA,NA,2010
NA,Luton,E06000032,2185,NA,NA,2011
NA,Luton,E06000032,2217,NA,NA,2012
NA,Luton,E06000032,2265,NA,NA,2013
NA,Luton,E06000032,2278,NA,NA,2014
NA,Manchester,E08000003,9405,NA,NA,2010
NA,Manchester,E08000003,9214,NA,NA,2011
NA,Manchester,E08000003,9135,NA,NA,2012
NA,Manchester,E08000003,9591,NA,NA,2013
NA,Manchester,E08000003,9528,NA,NA,2014
NA,Medway,E06000035,2774,NA,NA,2010
NA,Medway,E06000035,2783,NA,NA,2011
NA,Medway,E06000035,2764,NA,NA,2012
NA,Medway,E06000035,2817,NA,NA,2013
NA,Medway,E06000035,2808,NA,NA,2014
NA,Merton,E09000024,1812,NA,NA,2010
NA,Merton,E09000024,1793,NA,NA,2011
NA,Merton,E09000024,1798,NA,NA,2012
NA,Merton,E09000024,1838,NA,NA,2013
NA,Merton,E09000024,1837,NA,NA,2014
NA,Middlesbrough,E06000002,2561,NA,NA,2010
NA,Middlesbrough,E06000002,2609,NA,NA,2011
NA,Middlesbrough,E06000002,2632,NA,NA,2012
NA,Middlesbrough,E06000002,2781,NA,NA,2013
NA,Middlesbrough,E06000002,2757,NA,NA,2014
NA,Milton Keynes,E06000042,1996,NA,NA,2010
NA,Milton Keynes,E06000042,2002,NA,NA,2011
NA,Milton Keynes,E06000042,1998,NA,NA,2012
NA,Milton Keynes,E06000042,2036,NA,NA,2013
NA,Milton Keynes,E06000042,2021,NA,NA,2014
NA,Newcastle upon Tyne,E08000021,3978,NA,NA,2010
NA,Newcastle upon Tyne,E08000021,4014,NA,NA,2011
NA,Newcastle upon Tyne,E08000021,3992,NA,NA,2012
NA,Newcastle upon Tyne,E08000021,4145,NA,NA,2013
NA,Newcastle upon Tyne,E08000021,4066,NA,NA,2014
NA,Newham,E09000025,3519,NA,NA,2010
NA,Newham,E09000025,3538,NA,NA,2011
NA,Newham,E09000025,3495,NA,NA,2012
NA,Newham,E09000025,3601,NA,NA,2013
NA,Newham,E09000025,3615,NA,NA,2014
NA,Norfolk,E10000020,8949,NA,NA,2010
NA,Norfolk,E10000020,8971,NA,NA,2011
NA,Norfolk,E10000020,8972,NA,NA,2012
NA,Norfolk,E10000020,9216,NA,NA,2013
NA,Norfolk,E10000020,9195,NA,NA,2014
NA,North East Lincolnshire,E06000012,1890,NA,NA,2010
NA,North East Lincolnshire,E06000012,1901,NA,NA,2011
NA,North East Lincolnshire,E06000012,1891,NA,NA,2012
NA,North East Lincolnshire,E06000012,1970,NA,NA,2013
NA,North East Lincolnshire,E06000012,1957,NA,NA,2014
NA,North Lincolnshire,E06000013,1727,NA,NA,2010
NA,North Lincolnshire,E06000013,1698,NA,NA,2011
NA,North Lincolnshire,E06000013,1708,NA,NA,2012
NA,North Lincolnshire,E06000013,1744,NA,NA,2013
NA,North Lincolnshire,E06000013,1741,NA,NA,2014
NA,North Somerset,E06000024,1787,NA,NA,2010
NA,North Somerset,E06000024,1776,NA,NA,2011
NA,North Somerset,E06000024,1772,NA,NA,2012
NA,North Somerset,E06000024,1828,NA,NA,2013
NA,North Somerset,E06000024,1817,NA,NA,2014
NA,North Tyneside,E08000022,2516,NA,NA,2010
NA,North Tyneside,E08000022,2511,NA,NA,2011
NA,North Tyneside,E08000022,2517,NA,NA,2012
NA,North Tyneside,E08000022,2586,NA,NA,2013
NA,North Tyneside,E08000022,2604,NA,NA,2014
NA,North Yorkshire,E10000023,5196,NA,NA,2010
NA,North Yorkshire,E10000023,5201,NA,NA,2011
NA,North Yorkshire,E10000023,5184,NA,NA,2012
NA,North Yorkshire,E10000023,5305,NA,NA,2013
NA,North Yorkshire,E10000023,5340,NA,NA,2014
NA,Northamptonshire,E10000021,6428,NA,NA,2010
NA,Northamptonshire,E10000021,6416,NA,NA,2011
NA,Northamptonshire,E10000021,6381,NA,NA,2012
NA,Northamptonshire,E10000021,6528,NA,NA,2013
NA,Northamptonshire,E10000021,6535,NA,NA,2014
NA,Northumberland,E06000057,3153,NA,NA,2010
NA,Northumberland,E06000057,3150,NA,NA,2011
NA,Northumberland,E06000057,3150,NA,NA,2012
NA,Northumberland,E06000057,3231,NA,NA,2013
NA,Northumberland,E06000057,3236,NA,NA,2014
NA,Nottingham,E06000018,5269,NA,NA,2010
NA,Nottingham,E06000018,5260,NA,NA,2011
NA,Nottingham,E06000018,5227,NA,NA,2012
NA,Nottingham,E06000018,5460,NA,NA,2013
NA,Nottingham,E06000018,5515,NA,NA,2014
NA,Nottinghamshire,E10000024,8160,NA,NA,2010
NA,Nottinghamshire,E10000024,8184,NA,NA,2011
NA,Nottinghamshire,E10000024,8166,NA,NA,2012
NA,Nottinghamshire,E10000024,8379,NA,NA,2013
NA,Nottinghamshire,E10000024,8346,NA,NA,2014
NA,Oldham,E08000004,2936,NA,NA,2010
NA,Oldham,E08000004,2924,NA,NA,2011
NA,Oldham,E08000004,2904,NA,NA,2012
NA,Oldham,E08000004,3030,NA,NA,2013
NA,Oldham,E08000004,3039,NA,NA,2014
NA,Oxfordshire,E10000025,5292,NA,NA,2010
NA,Oxfordshire,E10000025,5285,NA,NA,2011
NA,Oxfordshire,E10000025,5272,NA,NA,2012
NA,Oxfordshire,E10000025,5375,NA,NA,2013
NA,Oxfordshire,E10000025,5373,NA,NA,2014
NA,Peterborough,E06000031,2387,NA,NA,2010
NA,Peterborough,E06000031,2367,NA,NA,2011
NA,Peterborough,E06000031,2375,NA,NA,2012
NA,Peterborough,E06000031,2436,NA,NA,2013
NA,Peterborough,E06000031,2456,NA,NA,2014
NA,Plymouth,E06000026,3280,NA,NA,2010
NA,Plymouth,E06000026,3274,NA,NA,2011
NA,Plymouth,E06000026,3243,NA,NA,2012
NA,Plymouth,E06000026,3353,NA,NA,2013
NA,Plymouth,E06000026,3320,NA,NA,2014
NA,Poole,E06000029,1520,NA,NA,2010
NA,Poole,E06000029,1510,NA,NA,2011
NA,Poole,E06000029,1515,NA,NA,2012
NA,Poole,E06000029,1538,NA,NA,2013
NA,Poole,E06000029,1564,NA,NA,2014
NA,Portsmouth,E06000044,3065,NA,NA,2010
NA,Portsmouth,E06000044,3072,NA,NA,2011
NA,Portsmouth,E06000044,2982,NA,NA,2012
NA,Portsmouth,E06000044,3115,NA,NA,2013
NA,Portsmouth,E06000044,3075,NA,NA,2014
NA,Reading,E06000038,1686,NA,NA,2010
NA,Reading,E06000038,1668,NA,NA,2011
NA,Reading,E06000038,1675,NA,NA,2012
NA,Reading,E06000038,1707,NA,NA,2013
NA,Reading,E06000038,1702,NA,NA,2014
NA,Redbridge,E09000026,2174,NA,NA,2010
NA,Redbridge,E09000026,2172,NA,NA,2011
NA,Redbridge,E09000026,2154,NA,NA,2012
NA,Redbridge,E09000026,2218,NA,NA,2013
NA,Redbridge,E09000026,2197,NA,NA,2014
NA,Redcar and Cleveland,E06000003,1776,NA,NA,2010
NA,Redcar and Cleveland,E06000003,1780,NA,NA,2011
NA,Redcar and Cleveland,E06000003,1795,NA,NA,2012
NA,Redcar and Cleveland,E06000003,1859,NA,NA,2013
NA,Redcar and Cleveland,E06000003,1855,NA,NA,2014
NA,Richmond upon Thames,E09000027,1399,NA,NA,2010
NA,Richmond upon Thames,E09000027,1397,NA,NA,2011
NA,Richmond upon Thames,E09000027,1395,NA,NA,2012
NA,Richmond upon Thames,E09000027,1420,NA,NA,2013
NA,Richmond upon Thames,E09000027,1417,NA,NA,2014
NA,Rochdale,E08000005,3143,NA,NA,2010
NA,Rochdale,E08000005,3125,NA,NA,2011
NA,Rochdale,E08000005,3082,NA,NA,2012
