"Year","Series","Drug group","Local authority","Sex","Age","Ethnicity","Units","Observation status","Value"
"2013/14","People in treatment","","","","18 to 29","","Number","Normal value",58562
"2013/14","People in treatment","","","","30 to 49","","Number","Normal value",194143
"2013/14","People in treatment","","","","50 and over","","Number","Normal value",49239
"2013/14","People in treatment","","","Male","","","Number","Normal value",211542
"2013/14","People in treatment","","","Male","18 to 29","","Number","Normal value",39685
"2013/14","People in treatment","","","Male","30 to 49","","Number","Normal value",138601
"2013/14","People in treatment","","","Male","50 and over","","Number","Normal value",33256
"2013/14","People in treatment","","","Female","","","Number","Normal value",90402
"2013/14","People in treatment","","","Female","18 to 29","","Number","Normal value",18877
"2013/14","People in treatment","","","Female","30 to 49","","Number","Normal value",55542
"2013/14","People in treatment","","","Female","50 and over","","Number","Normal value",15983
"2014/15","People in treatment","","","","","","Number","Normal value",295224
"2014/15","People in treatment","","","","18 to 29","","Number","Normal value",53231
"2014/15","People in treatment","","","","30 to 49","","Number","Normal value",189622
"2014/15","People in treatment","","","","50 and over","","Number","Normal value",52371
"2014/15","People in treatment","","","Male","","","Number","Normal value",206298
"2014/15","People in treatment","","","Male","18 to 29","","Number","Normal value",35953
"2014/15","People in treatment","","","Male","30 to 49","","Number","Normal value",134776
"2014/15","People in treatment","","","Male","50 and over","","Number","Normal value",35569
"2014/15","People in treatment","","","Female","","","Number","Normal value",88926
"2014/15","People in treatment","","","Female","18 to 29","","Number","Normal value",17278
"2014/15","People in treatment","","","Female","30 to 49","","Number","Normal value",54846
"2014/15","People in treatment","","","Female","50 and over","","Number","Normal value",16802
"2015/16","People in treatment","","","","","","Number","Normal value",288843
"2015/16","People in treatment","","","","18 to 29","","Number","Normal value",49127
"2015/16","People in treatment","","","","30 to 49","","Number","Normal value",185403
"2015/16","People in treatment","","","","50 and over","","Number","Normal value",54313
"2015/16","People in treatment","","","Male","","","Number","Normal value",201215
"2015/16","People in treatment","","","Male","18 to 29","","Number","Normal value",33217
"2015/16","People in treatment","","","Male","30 to 49","","Number","Normal value",131357
"2015/16","People in treatment","","","Male","50 and over","","Number","Normal value",36641
"2015/16","People in treatment","","","Female","","","Number","Normal value",87628
"2015/16","People in treatment","","","Female","18 to 29","","Number","Normal value",15910
"2015/16","People in treatment","","","Female","30 to 49","","Number","Normal value",54046
"2015/16","People in treatment","","","Female","50 and over","","Number","Normal value",17672
"2016/17","People in treatment","","","","","","Number","Normal value",279793
"2016/17","People in treatment","","","","18 to 29","","Number","Normal value",44448
"2016/17","People in treatment","","","","30 to 49","","Number","Normal value",179397
"2016/17","People in treatment","","","","50 and over","","Number","Normal value",55948
"2016/17","People in treatment","","","Male","","","Number","Normal value",194304
"2016/17","People in treatment","","","Male","18 to 29","","Number","Normal value",29690
"2016/17","People in treatment","","","Male","30 to 49","","Number","Normal value",126761
"2016/17","People in treatment","","","Male","50 and over","","Number","Normal value",37853
"2016/17","People in treatment","","","Female","","","Number","Normal value",85489
"2016/17","People in treatment","","","Female","18 to 29","","Number","Normal value",14758
"2016/17","People in treatment","","","Female","30 to 49","","Number","Normal value",52636
"2016/17","People in treatment","","","Female","50 and over","","Number","Normal value",18095
"2017/18","People in treatment","","","","","","Number","Normal value",268390
"2017/18","People in treatment","","","","18 to 29","","Number","Normal value",40069
"2017/18","People in treatment","","","","30 to 49","","Number","Normal value",171815
"2017/18","People in treatment","","","","50 and over","","Number","Normal value",56506
"2017/18","People in treatment","","","Male","","","Number","Normal value",185870
"2017/18","People in treatment","","","Male","18 to 29","","Number","Normal value",26436
"2017/18","People in treatment","","","Male","30 to 49","","Number","Normal value",120725
"2017/18","People in treatment","","","Male","50 and over","","Number","Normal value",38709
"2017/18","People in treatment","","","Female","","","Number","Normal value",82520
"2017/18","People in treatment","","","Female","18 to 29","","Number","Normal value",13633
"2017/18","People in treatment","","","Female","30 to 49","","Number","Normal value",51090
"2017/18","People in treatment","","","Female","50 and over","","Number","Normal value",17797
"2018/19","People in treatment","","","","","","Number","Normal value",268251
"2018/19","People in treatment","","","","18 to 29","","Number","Normal value",38643
"2018/19","People in treatment","","","","30 to 49","","Number","Normal value",170100
"2018/19","People in treatment","","","","50 and over","","Number","Normal value",59508
"2018/19","People in treatment","","","Male","","","Number","Normal value",185236
"2018/19","People in treatment","","","Male","18 to 29","","Number","Normal value",25387
"2018/19","People in treatment","","","Male","30 to 49","","Number","Normal value",118900
"2018/19","People in treatment","","","Male","50 and over","","Number","Normal value",40949
"2018/19","People in treatment","","","Female","","","Number","Normal value",83015
"2018/19","People in treatment","","","Female","18 to 29","","Number","Normal value",13256
"2018/19","People in treatment","","","Female","30 to 49","","Number","Normal value",51200
"2018/19","People in treatment","","","Female","50 and over","","Number","Normal value",18559
"2019/20","People in treatment","","","","","","Number","Normal value",270705
"2019/20","People in treatment","","","","18 to 29","","Number","Normal value",38009
"2019/20","People in treatment","","","","30 to 49","","Number","Normal value",169966
"2019/20","People in treatment","","","","50 and over","","Number","Normal value",62730
"2019/20","People in treatment","","","Male","","","Number","Normal value",186811
"2019/20","People in treatment","","","Male","18 to 29","","Number","Normal value",24876
"2019/20","People in treatment","","","Male","30 to 49","","Number","Normal value",118392
"2019/20","People in treatment","","","Male","50 and over","","Number","Normal value",43543
"2019/20","People in treatment","","","Female","","","Number","Normal value",83894
"2019/20","People in treatment","","","Female","18 to 29","","Number","Normal value",13133
"2019/20","People in treatment","","","Female","30 to 49","","Number","Normal value",51574
"2019/20","People in treatment","","","Female","50 and over","","Number","Normal value",19187
"2020/21","People in treatment","","","","","","Number","Normal value",275896
"2020/21","People in treatment","","","","18 to 29","","Number","Normal value",38848
"2020/21","People in treatment","","","","30 to 49","","Number","Normal value",171144
"2020/21","People in treatment","","","","50 and over","","Number","Normal value",65904
"2020/21","People in treatment","","","Male","","","Number","Normal value",186371
"2020/21","People in treatment","","","Male","18 to 29","","Number","Normal value",24450
"2020/21","People in treatment","","","Male","30 to 49","","Number","Normal value",116617
"2020/21","People in treatment","","","Male","50 and over","","Number","Normal value",45304
"2020/21","People in treatment","","","Female","","","Number","Normal value",89525
"2020/21","People in treatment","","","Female","18 to 29","","Number","Normal value",14398
"2020/21","People in treatment","","","Female","30 to 49","","Number","Normal value",54527
"2020/21","People in treatment","","","Female","50 and over","","Number","Normal value",20600
"2021/22","People in treatment","","","","","","Number","Normal value",289215
"2021/22","People in treatment","","","","18 to 29","","Number","Normal value",38954
"2021/22","People in treatment","","","","30 to 49","","Number","Normal value",175817
"2021/22","People in treatment","","","","50 and over","","Number","Normal value",74444
"2021/22","People in treatment","","","Male","","","Number","Normal value",195080
"2021/22","People in treatment","","","Male","18 to 29","","Number","Normal value",24362
"2021/22","People in treatment","","","Male","30 to 49","","Number","Normal value",119747
"2021/22","People in treatment","","","Male","50 and over","","Number","Normal value",50971
"2021/22","People in treatment","","","Female","","","Number","Normal value",94135
"2021/22","People in treatment","","","Female","18 to 29","","Number","Normal value",14592
"2021/22","People in treatment","","","Female","30 to 49","","Number","Normal value",56070
"2021/22","People in treatment","","","Female","50 and over","","Number","Normal value",23473
"2009/10","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",75
"2009/10","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",195
"2009/10","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",60
"2009/10","People in treatment","","Barnet","Female","","","Number","Normal value",330
"2009/10","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",175
"2009/10","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",460
"2009/10","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",140
"2009/10","People in treatment","","Barnet","Male","","","Number","Normal value",775
"2009/10","People in treatment","","Barnet","","18 to 29","","Number","Normal value",250
"2009/10","People in treatment","","Barnet","","30 to 49","","Number","Normal value",655
"2009/10","People in treatment","","Barnet","","50 and over","","Number","Normal value",200
"2009/10","People in treatment","","Barnet","","","","Number","Normal value",1105
"2010/11","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",195
"2010/11","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",65
"2010/11","People in treatment","","Barnet","Female","","","Number","Normal value",325
"2010/11","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",145
"2010/11","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",480
"2010/11","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",155
"2010/11","People in treatment","","Barnet","Male","","","Number","Normal value",780
"2010/11","People in treatment","","Barnet","","18 to 29","","Number","Normal value",210
"2010/11","People in treatment","","Barnet","","30 to 49","","Number","Normal value",675
"2010/11","People in treatment","","Barnet","","50 and over","","Number","Normal value",225
"2010/11","People in treatment","","Barnet","","","","Number","Normal value",1110
"2010/11","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",65
"2011/12","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",60
"2011/12","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",200
"2011/12","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",65
"2011/12","People in treatment","","Barnet","Female","","","Number","Normal value",325
"2011/12","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",120
"2011/12","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",470
"2011/12","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",155
"2011/12","People in treatment","","Barnet","Male","","","Number","Normal value",740
"2011/12","People in treatment","","Barnet","","18 to 29","","Number","Normal value",180
"2011/12","People in treatment","","Barnet","","30 to 49","","Number","Normal value",665
"2011/12","People in treatment","","Barnet","","50 and over","","Number","Normal value",220
"2011/12","People in treatment","","Barnet","","","","Number","Normal value",1065
"2012/13","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",70
"2012/13","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",225
"2012/13","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",75
"2012/13","People in treatment","","Barnet","Female","","","Number","Normal value",365
"2012/13","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",170
"2012/13","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",580
"2012/13","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",195
"2012/13","People in treatment","","Barnet","Male","","","Number","Normal value",945
"2012/13","People in treatment","","Barnet","","18 to 29","","Number","Normal value",240
"2012/13","People in treatment","","Barnet","","30 to 49","","Number","Normal value",805
"2012/13","People in treatment","","Barnet","","50 and over","","Number","Normal value",270
"2012/13","People in treatment","","Barnet","","","","Number","Normal value",1315
"2013/14","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",70
"2013/14","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",255
"2013/14","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",80
"2013/14","People in treatment","","Barnet","Female","","","Number","Normal value",405
"2013/14","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",170
"2013/14","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",625
"2013/14","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",235
"2013/14","People in treatment","","Barnet","Male","","","Number","Normal value",1025
"2013/14","People in treatment","","Barnet","","18 to 29","","Number","Normal value",240
"2013/14","People in treatment","","Barnet","","30 to 49","","Number","Normal value",875
"2013/14","People in treatment","","Barnet","","50 and over","","Number","Normal value",315
"2013/14","People in treatment","","Barnet","","","","Number","Normal value",1435
"2014/15","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",65
"2014/15","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",220
"2014/15","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",85
"2014/15","People in treatment","","Barnet","Female","","","Number","Normal value",370
"2014/15","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",150
"2014/15","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",585
"2014/15","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",220
"2014/15","People in treatment","","Barnet","Male","","","Number","Normal value",955
"2014/15","People in treatment","","Barnet","","18 to 29","","Number","Normal value",215
"2014/15","People in treatment","","Barnet","","30 to 49","","Number","Normal value",805
"2014/15","People in treatment","","Barnet","","50 and over","","Number","Normal value",305
"2014/15","People in treatment","","Barnet","","","","Number","Normal value",1325
"2015/16","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",50
"2015/16","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",185
"2015/16","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",85
"2015/16","People in treatment","","Barnet","Female","","","Number","Normal value",325
"2015/16","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",140
"2015/16","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",525
"2015/16","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",230
"2015/16","People in treatment","","Barnet","Male","","","Number","Normal value",895
"2015/16","People in treatment","","Barnet","","18 to 29","","Number","Normal value",190
"2015/16","People in treatment","","Barnet","","30 to 49","","Number","Normal value",715
"2015/16","People in treatment","","Barnet","","50 and over","","Number","Normal value",315
"2015/16","People in treatment","","Barnet","","","","Number","Normal value",1215
"2016/17","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",45
"2016/17","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",160
"2016/17","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",75
"2016/17","People in treatment","","Barnet","Female","","","Number","Normal value",280
"2016/17","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",95
"2016/17","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",430
"2016/17","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",225
"2016/17","People in treatment","","Barnet","Male","","","Number","Normal value",750
"2016/17","People in treatment","","Barnet","","18 to 29","","Number","Normal value",140
"2016/17","People in treatment","","Barnet","","30 to 49","","Number","Normal value",590
"2016/17","People in treatment","","Barnet","","50 and over","","Number","Normal value",295
"2016/17","People in treatment","","Barnet","","","","Number","Normal value",1025
"2017/18","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",50
"2017/18","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",160
"2017/18","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",80
"2017/18","People in treatment","","Barnet","Female","","","Number","Normal value",290
"2017/18","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",105
"2017/18","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",440
"2017/18","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",235
"2017/18","People in treatment","","Barnet","Male","","","Number","Normal value",780
"2017/18","People in treatment","","Barnet","","18 to 29","","Number","Normal value",155
"2017/18","People in treatment","","Barnet","","30 to 49","","Number","Normal value",600
"2017/18","People in treatment","","Barnet","","50 and over","","Number","Normal value",315
"2017/18","People in treatment","","Barnet","","","","Number","Normal value",1070
"2018/19","People in treatment","","Barnet","","30 to 49","","Number","Normal value",565
"2018/19","People in treatment","","Barnet","","50 and over","","Number","Normal value",320
"2018/19","People in treatment","","Barnet","","","","Number","Normal value",1035
"2018/19","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",60
"2018/19","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",140
"2018/19","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",70
"2018/19","People in treatment","","Barnet","Female","","","Number","Normal value",275
"2018/19","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",90
"2018/19","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",425
"2018/19","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",245
"2018/19","People in treatment","","Barnet","Male","","","Number","Normal value",765
"2018/19","People in treatment","","Barnet","","18 to 29","","Number","Normal value",150
"2019/20","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",55
"2019/20","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",175
"2019/20","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",65
"2019/20","People in treatment","","Barnet","Female","","","Number","Normal value",295
"2019/20","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",120
"2019/20","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",435
"2019/20","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",250
"2019/20","People in treatment","","Barnet","Male","","","Number","Normal value",810
"2019/20","People in treatment","","Barnet","","18 to 29","","Number","Normal value",175
"2019/20","People in treatment","","Barnet","","30 to 49","","Number","Normal value",610
"2019/20","People in treatment","","Barnet","","50 and over","","Number","Normal value",315
"2019/20","People in treatment","","Barnet","","","","Number","Normal value",1105
"2020/21","People in treatment","","Barnet","","30 to 49","","Number","Normal value",685
"2020/21","People in treatment","","Barnet","","50 and over","","Number","Normal value",370
"2020/21","People in treatment","","Barnet","","","","Number","Normal value",1285
"2020/21","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",85
"2020/21","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",200
"2020/21","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",95
"2020/21","People in treatment","","Barnet","Female","","","Number","Normal value",380
"2020/21","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",150
"2020/21","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",485
"2020/21","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",275
"2020/21","People in treatment","","Barnet","Male","","","Number","Normal value",905
"2020/21","People in treatment","","Barnet","","18 to 29","","Number","Normal value",230
"2021/22","People in treatment","","Barnet","Female","18 to 29","","Number","Normal value",100
"2021/22","People in treatment","","Barnet","Female","30 to 49","","Number","Normal value",235
"2021/22","People in treatment","","Barnet","Female","50 and over","","Number","Normal value",120
"2021/22","People in treatment","","Barnet","","","","Number","Normal value",1465
"2021/22","People in treatment","","Barnet","","18 to 29","","Number","Normal value",235
"2021/22","People in treatment","","Barnet","","30 to 49","","Number","Normal value",775
"2021/22","People in treatment","","Barnet","","50 and over","","Number","Normal value",455
"2021/22","People in treatment","","Barnet","Male","","","Number","Normal value",1010
"2021/22","People in treatment","","Barnet","Male","18 to 29","","Number","Normal value",135
"2021/22","People in treatment","","Barnet","Male","30 to 49","","Number","Normal value",540
"2021/22","People in treatment","","Barnet","Male","50 and over","","Number","Normal value",330
"2021/22","People in treatment","","Barnet","Female","","","Number","Normal value",455
"2009/10","People in treatment","","","","","White","Number","Normal value",272788
"2009/10","People in treatment","","","","18 to 29","White","Number","Normal value",74336
"2009/10","People in treatment","","","","30 to 49","White","Number","Normal value",165663
"2009/10","People in treatment","","","","50 and over","White","Number","Normal value",32789
"2009/10","People in treatment","","","Male","","White","Number","Normal value",188955
"2009/10","People in treatment","","","Male","18 to 29","White","Number","Normal value",50126
"2009/10","People in treatment","","","Male","30 to 49","White","Number","Normal value",117286
"2009/10","People in treatment","","","Male","50 and over","White","Number","Normal value",21543
"2009/10","People in treatment","","","Female","","White","Number","Normal value",83833
"2009/10","People in treatment","","","Female","18 to 29","White","Number","Normal value",24210
"2009/10","People in treatment","","","Female","30 to 49","White","Number","Normal value",48377
"2009/10","People in treatment","","","Female","50 and over","White","Number","Normal value",11246
"2010/11","People in treatment","","","","","White","Number","Normal value",269874
"2010/11","People in treatment","","","","18 to 29","White","Number","Normal value",67187
"2010/11","People in treatment","","","","30 to 49","White","Number","Normal value",168070
"2010/11","People in treatment","","","","50 and over","White","Number","Normal value",34617
"2010/11","People in treatment","","","Male","","White","Number","Normal value",186623
"2010/11","People in treatment","","","Male","18 to 29","White","Number","Normal value",45100
"2010/11","People in treatment","","","Male","30 to 49","White","Number","Normal value",118707
"2010/11","People in treatment","","","Male","50 and over","White","Number","Normal value",22816
"2010/11","People in treatment","","","Female","","White","Number","Normal value",83251
"2010/11","People in treatment","","","Female","18 to 29","White","Number","Normal value",22087
"2010/11","People in treatment","","","Female","30 to 49","White","Number","Normal value",49363
"2010/11","People in treatment","","","Female","50 and over","White","Number","Normal value",11801
"2011/12","People in treatment","","","","","White","Number","Normal value",262738
"2011/12","People in treatment","","","","18 to 29","White","Number","Normal value",59552
"2011/12","People in treatment","","","","30 to 49","White","Number","Normal value",166889
"2011/12","People in treatment","","","","50 and over","White","Number","Normal value",36297
"2011/12","People in treatment","","","Male","","White","Number","Normal value",180775
"2011/12","People in treatment","","","Male","18 to 29","White","Number","Normal value",39702
"2011/12","People in treatment","","","Male","30 to 49","White","Number","Normal value",117094
"2011/12","People in treatment","","","Male","50 and over","White","Number","Normal value",23979
"2011/12","People in treatment","","","Female","","White","Number","Normal value",81963
"2011/12","People in treatment","","","Female","18 to 29","White","Number","Normal value",19850
"2011/12","People in treatment","","","Female","30 to 49","White","Number","Normal value",49795
"2011/12","People in treatment","","","Female","50 and over","White","Number","Normal value",12318
"2012/13","People in treatment","","","","","White","Number","Normal value",260701
"2012/13","People in treatment","","","","18 to 29","White","Number","Normal value",54145
"2012/13","People in treatment","","","","30 to 49","White","Number","Normal value",167421
"2012/13","People in treatment","","","","50 and over","White","Number","Normal value",39135
"2012/13","People in treatment","","","Male","","White","Number","Normal value",179763
"2012/13","People in treatment","","","Male","18 to 29","White","Number","Normal value",36043
"2012/13","People in treatment","","","Male","30 to 49","White","Number","Normal value",117798
"2012/13","People in treatment","","","Male","50 and over","White","Number","Normal value",25922
"2012/13","People in treatment","","","Female","","White","Number","Normal value",80938
"2012/13","People in treatment","","","Female","18 to 29","White","Number","Normal value",18102
"2012/13","People in treatment","","","Female","30 to 49","White","Number","Normal value",49623
"2012/13","People in treatment","","","Female","50 and over","White","Number","Normal value",13213
"2013/14","People in treatment","","","","","White","Number","Normal value",265458
"2013/14","People in treatment","","","","18 to 29","White","Number","Normal value",50880
"2013/14","People in treatment","","","","30 to 49","White","Number","Normal value",170521
"2013/14","People in treatment","","","","50 and over","White","Number","Normal value",44057
"2013/14","People in treatment","","","Male","","White","Number","Normal value",182997
"2013/14","People in treatment","","","Male","18 to 29","White","Number","Normal value",33873
"2013/14","People in treatment","","","Male","30 to 49","White","Number","Normal value",119899
"2013/14","People in treatment","","","Male","50 and over","White","Number","Normal value",29225
"2013/14","People in treatment","","","Female","","White","Number","Normal value",82461
"2013/14","People in treatment","","","Female","18 to 29","White","Number","Normal value",17007
"2013/14","People in treatment","","","Female","30 to 49","White","Number","Normal value",50622
"2013/14","People in treatment","","","Female","50 and over","White","Number","Normal value",14832
"2014/15","People in treatment","","","","","White","Number","Normal value",259251
"2014/15","People in treatment","","","","18 to 29","White","Number","Normal value",46249
"2014/15","People in treatment","","","","30 to 49","White","Number","Normal value",166351
"2014/15","People in treatment","","","","50 and over","White","Number","Normal value",46651
"2014/15","People in treatment","","","Male","","White","Number","Normal value",178218
"2014/15","People in treatment","","","Male","18 to 29","White","Number","Normal value",30752
"2014/15","People in treatment","","","Male","30 to 49","White","Number","Normal value",116362
"2014/15","People in treatment","","","Male","50 and over","White","Number","Normal value",31104
"2014/15","People in treatment","","","Female","","White","Number","Normal value",81033
"2014/15","People in treatment","","","Female","18 to 29","White","Number","Normal value",15497
"2014/15","People in treatment","","","Female","30 to 49","White","Number","Normal value",49989
"2014/15","People in treatment","","","Female","50 and over","White","Number","Normal value",15547
"2015/16","People in treatment","","","","","White","Number","Normal value",253078
"2015/16","People in treatment","","","","18 to 29","White","Number","Normal value",42546
"2015/16","People in treatment","","","","30 to 49","White","Number","Normal value",162442
"2015/16","People in treatment","","","","50 and over","White","Number","Normal value",48090
"2015/16","People in treatment","","","Male","","White","Number","Normal value",173425
"2015/16","People in treatment","","","Male","18 to 29","White","Number","Normal value",28343
"2015/16","People in treatment","","","Male","30 to 49","White","Number","Normal value",113280
"2015/16","People in treatment","","","Male","50 and over","White","Number","Normal value",31802
"2015/16","People in treatment","","","Female","","White","Number","Normal value",79653
"2015/16","People in treatment","","","Female","18 to 29","White","Number","Normal value",14203
"2015/16","People in treatment","","","Female","30 to 49","White","Number","Normal value",49162
"2015/16","People in treatment","","","Female","50 and over","White","Number","Normal value",16288
"2016/17","People in treatment","","","","","White","Number","Normal value",245684
"2016/17","People in treatment","","","","18 to 29","White","Number","Normal value",38454
"2016/17","People in treatment","","","","30 to 49","White","Number","Normal value",157437
"2016/17","People in treatment","","","","50 and over","White","Number","Normal value",49793
"2016/17","People in treatment","","","Male","","White","Number","Normal value",167684
"2016/17","People in treatment","","","Male","18 to 29","White","Number","Normal value",25270
"2016/17","People in treatment","","","Male","30 to 49","White","Number","Normal value",109379
"2016/17","People in treatment","","","Male","50 and over","White","Number","Normal value",33035
"2016/17","People in treatment","","","Female","","White","Number","Normal value",78000
"2016/17","People in treatment","","","Female","18 to 29","White","Number","Normal value",13184
