"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2015","","55-64","England","","","","","Percentage","Units","Normal value","15.5"
"2014","","55-64","England","","","","","Percentage","Units","Normal value","16.2"
"2013","","55-64","England","","","","","Percentage","Units","Normal value","16.6"
"2012","","55-64","England","","","","","Percentage","Units","Normal value","17.6"
"2011","","55-64","England","","","","","Percentage","Units","Normal value","17.8"
"2021","","65+","England","","","","","Percentage","Units","Normal value","7.8"
"2020","","65+","England","","","","","Percentage","Units","Normal value","7.8"
"2019","","65+","England","","","","","Percentage","Units","Normal value","7.4"
"2018","","65+","England","","","","","Percentage","Units","Normal value","7.6"
"2017","","65+","England","","","","","Percentage","Units","Normal value","7.8"
"2016","","65+","England","","","","","Percentage","Units","Normal value","7.9"
"2015","","65+","England","","","","","Percentage","Units","Normal value","8.5"
"2014","","65+","England","","","","","Percentage","Units","Normal value","8.9"
"2013","","65+","England","","","","","Percentage","Units","Normal value","9.3"
"2012","","65+","England","","","","","Percentage","Units","Normal value","9.7"
"2011","","65+","England","","","","","Percentage","Units","Normal value","9.8"
"2021","","All 18+","England","","","","","Percentage","Units","Normal value","13"
"2020","","All 18+","England","","","","","Percentage","Units","Normal value","13.8"
"2019","","All 18+","England","","","","","Percentage","Units","Normal value","13.9"
"2018","","All 18+","England","","","","","Percentage","Units","Normal value","14.4"
"2017","","All 18+","England","","","","","Percentage","Units","Normal value","14.9"
"2016","","All 18+","England","","","","","Percentage","Units","Normal value","15.5"
"2015","","All 18+","England","","","","","Percentage","Units","Normal value","16.9"
"2014","","All 18+","England","","","","","Percentage","Units","Normal value","17.8"
"2013","","All 18+","England","","","","","Percentage","Units","Normal value","18.4"
"2012","","All 18+","England","","","","","Percentage","Units","Normal value","19.3"
"2011","","All 18+","England","","","","","Percentage","Units","Normal value","19.8"
"2021","","18-24","Wales","","","","","Percentage","Units","Normal value","13.1"
"2020","","18-24","Wales","","","","","Percentage","Units","Normal value","15.4"
"2019","","18-24","Wales","","","","","Percentage","Units","Normal value","17.6"
"2018","","18-24","Wales","","","","","Percentage","Units","Normal value","18.8"
"2017","","18-24","Wales","","","","","Percentage","Units","Normal value","19.8"
"2016","","18-24","Wales","","","","","Percentage","Units","Normal value","20"
"2015","","18-24","Wales","","","","","Percentage","Units","Normal value","21.1"
"2014","","18-24","Wales","","","","","Percentage","Units","Normal value","23"
"2013","","18-24","Wales","","","","","Percentage","Units","Normal value","24.3"
"2012","","18-24","Wales","","","","","Percentage","Units","Normal value","25.8"
"2011","","18-24","Wales","","","","","Percentage","Units","Normal value","26.5"
"2021","","25-34","Wales","","","","","Percentage","Units","Normal value","17.6"
"2020","","25-34","Wales","","","","","Percentage","Units","Normal value","21.3"
"2019","","25-34","Wales","","","","","Percentage","Units","Normal value","22.2"
"2018","","25-34","Wales","","","","","Percentage","Units","Normal value","23.9"
"2017","","25-34","Wales","","","","","Percentage","Units","Normal value","21.6"
"2016","","25-34","Wales","","","","","Percentage","Units","Normal value","22.9"
"2015","","25-34","Wales","","","","","Percentage","Units","Normal value","24.7"
"2014","","25-34","Wales","","","","","Percentage","Units","Normal value","27.1"
"2013","","25-34","Wales","","","","","Percentage","Units","Normal value","28.2"
"2012","","25-34","Wales","","","","","Percentage","Units","Normal value","28.8"
"2011","","25-34","Wales","","","","","Percentage","Units","Normal value","29.9"
"2021","","35-44","Wales","","","","","Percentage","Units","Normal value","16.7"
"2020","","35-44","Wales","","","","","Percentage","Units","Normal value","18.8"
"2019","","35-44","Wales","","","","","Percentage","Units","Normal value","18.2"
"2018","","35-44","Wales","","","","","Percentage","Units","Normal value","17.4"
"2017","","35-44","Wales","","","","","Percentage","Units","Normal value","19.1"
"2016","","35-44","Wales","","","","","Percentage","Units","Normal value","19.2"
"2015","","35-44","Wales","","","","","Percentage","Units","Normal value","22.3"
"2014","","35-44","Wales","","","","","Percentage","Units","Normal value","23.1"
"2013","","35-44","Wales","","","","","Percentage","Units","Normal value","24.5"
"2012","","35-44","Wales","","","","","Percentage","Units","Normal value","24.3"
"2011","","35-44","Wales","","","","","Percentage","Units","Normal value","27.4"
"2021","","45-54","Wales","","","","","Percentage","Units","Normal value","18.3"
"2020","","45-54","Wales","","","","","Percentage","Units","Normal value","17.4"
"2019","","45-54","Wales","","","","","Percentage","Units","Normal value","18.2"
"2018","","45-54","Wales","","","","","Percentage","Units","Normal value","18.5"
"2017","","45-54","Wales","","","","","Percentage","Units","Normal value","17.3"
"2016","","45-54","Wales","","","","","Percentage","Units","Normal value","18.9"
"2015","","45-54","Wales","","","","","Percentage","Units","Normal value","20"
"2014","","45-54","Wales","","","","","Percentage","Units","Normal value","20.9"
"2013","","45-54","Wales","","","","","Percentage","Units","Normal value","21.7"
"2012","","45-54","Wales","","","","","Percentage","Units","Normal value","23.9"
"2011","","45-54","Wales","","","","","Percentage","Units","Normal value","24.7"
"2021","","55-64","Wales","","","","","Percentage","Units","Normal value","15.2"
"2020","","55-64","Wales","","","","","Percentage","Units","Normal value","14.3"
"2019","","55-64","Wales","","","","","Percentage","Units","Normal value","14.1"
"2018","","55-64","Wales","","","","","Percentage","Units","Normal value","14.7"
"2017","","55-64","Wales","","","","","Percentage","Units","Normal value","16.5"
"2016","","55-64","Wales","","","","","Percentage","Units","Normal value","16.4"
"2015","","55-64","Wales","","","","","Percentage","Units","Normal value","17.1"
"2014","","55-64","Wales","","","","","Percentage","Units","Normal value","17.9"
"2013","","55-64","Wales","","","","","Percentage","Units","Normal value","17.9"
"2012","","55-64","Wales","","","","","Percentage","Units","Normal value","18.5"
"2011","","55-64","Wales","","","","","Percentage","Units","Normal value","19.4"
"2021","","65+","Wales","","","","","Percentage","Units","Normal value","7.6"
"2020","","65+","Wales","","","","","Percentage","Units","Normal value","8.4"
"2019","","65+","Wales","","","","","Percentage","Units","Normal value","8.2"
"2018","","65+","Wales","","","","","Percentage","Units","Normal value","8"
"2017","","65+","Wales","","","","","Percentage","Units","Normal value","8.4"
"2016","","65+","Wales","","","","","Percentage","Units","Normal value","9.1"
"2015","","65+","Wales","","","","","Percentage","Units","Normal value","9.2"
"2014","","65+","Wales","","","","","Percentage","Units","Normal value","10.1"
"2013","","65+","Wales","","","","","Percentage","Units","Normal value","10.4"
"2012","","65+","Wales","","","","","Percentage","Units","Normal value","10.4"
"2011","","65+","Wales","","","","","Percentage","Units","Normal value","11.1"
"2021","","All 18+","Wales","","","","","Percentage","Units","Normal value","14.1"
"2020","","All 18+","Wales","","","","","Percentage","Units","Normal value","15.1"
"2019","","All 18+","Wales","","","","","Percentage","Units","Normal value","15.5"
"2018","","All 18+","Wales","","","","","Percentage","Units","Normal value","15.9"
"2017","","All 18+","Wales","","","","","Percentage","Units","Normal value","16.1"
"2016","","All 18+","Wales","","","","","Percentage","Units","Normal value","16.9"
"2015","","All 18+","Wales","","","","","Percentage","Units","Normal value","18.1"
"2014","","All 18+","Wales","","","","","Percentage","Units","Normal value","19.4"
"2013","","All 18+","Wales","","","","","Percentage","Units","Normal value","20.2"
"2012","","All 18+","Wales","","","","","Percentage","Units","Normal value","21"
"2011","","All 18+","Wales","","","","","Percentage","Units","Normal value","22.3"
"2021","","18-24","Scotland","","","","","Percentage","Units","Normal value","13.7"
"2020","","18-24","Scotland","","","","","Percentage","Units","Normal value","16"
"2019","","18-24","Scotland","","","","","Percentage","Units","Normal value","14.5"
"2018","","18-24","Scotland","","","","","Percentage","Units","Normal value","15.1"
"2017","","18-24","Scotland","","","","","Percentage","Units","Normal value","13.8"
"2016","","18-24","Scotland","","","","","Percentage","Units","Normal value","17.7"
"2015","","18-24","Scotland","","","","","Percentage","Units","Normal value","19.8"
"2014","","18-24","Scotland","","","","","Percentage","Units","Normal value","21.4"
"2013","","18-24","Scotland","","","","","Percentage","Units","Normal value","23.9"
"2012","","18-24","Scotland","","","","","Percentage","Units","Normal value","24.1"
"2011","","18-24","Scotland","","","","","Percentage","Units","Normal value","26.9"
"2021","","25-34","Scotland","","","","","Percentage","Units","Normal value","15.3"
"2020","","25-34","Scotland","","","","","Percentage","Units","Normal value","16.2"
"2019","","25-34","Scotland","","","","","Percentage","Units","Normal value","18.4"
"2018","","25-34","Scotland","","","","","Percentage","Units","Normal value","19.5"
"2017","","25-34","Scotland","","","","","Percentage","Units","Normal value","19.1"
"2016","","25-34","Scotland","","","","","Percentage","Units","Normal value","20.2"
"2015","","25-34","Scotland","","","","","Percentage","Units","Normal value","22.9"
"2014","","25-34","Scotland","","","","","Percentage","Units","Normal value","24.8"
"2013","","25-34","Scotland","","","","","Percentage","Units","Normal value","27.4"
"2012","","25-34","Scotland","","","","","Percentage","Units","Normal value","26.1"
"2011","","25-34","Scotland","","","","","Percentage","Units","Normal value","27.4"
"2021","","35-44","Scotland","","","","","Percentage","Units","Normal value","17.2"
"2020","","35-44","Scotland","","","","","Percentage","Units","Normal value","19.2"
"2019","","35-44","Scotland","","","","","Percentage","Units","Normal value","16.3"
"2018","","35-44","Scotland","","","","","Percentage","Units","Normal value","18.2"
"2017","","35-44","Scotland","","","","","Percentage","Units","Normal value","19.9"
"2016","","35-44","Scotland","","","","","Percentage","Units","Normal value","21.4"
"2015","","35-44","Scotland","","","","","Percentage","Units","Normal value","21.9"
"2014","","35-44","Scotland","","","","","Percentage","Units","Normal value","23.1"
"2013","","35-44","Scotland","","","","","Percentage","Units","Normal value","24.5"
"2012","","35-44","Scotland","","","","","Percentage","Units","Normal value","24.2"
"2011","","35-44","Scotland","","","","","Percentage","Units","Normal value","26.1"
"2021","","45-54","Scotland","","","","","Percentage","Units","Normal value","18.5"
"2020","","45-54","Scotland","","","","","Percentage","Units","Normal value","18.2"
"2019","","45-54","Scotland","","","","","Percentage","Units","Normal value","17.6"
"2018","","45-54","Scotland","","","","","Percentage","Units","Normal value","19.4"
"2017","","45-54","Scotland","","","","","Percentage","Units","Normal value","19.1"
"2016","","45-54","Scotland","","","","","Percentage","Units","Normal value","19.7"
"2015","","45-54","Scotland","","","","","Percentage","Units","Normal value","21.3"
"2014","","45-54","Scotland","","","","","Percentage","Units","Normal value","22.4"
"2013","","45-54","Scotland","","","","","Percentage","Units","Normal value","23.5"
"2012","","45-54","Scotland","","","","","Percentage","Units","Normal value","24"
"2011","","45-54","Scotland","","","","","Percentage","Units","Normal value","26.7"
"2021","","55-64","Scotland","","","","","Percentage","Units","Normal value","16.9"
"2020","","55-64","Scotland","","","","","Percentage","Units","Normal value","18.2"
"2019","","55-64","Scotland","","","","","Percentage","Units","Normal value","16.7"
"2018","","55-64","Scotland","","","","","Percentage","Units","Normal value","17.4"
"2017","","55-64","Scotland","","","","","Percentage","Units","Normal value","17.8"
"2016","","55-64","Scotland","","","","","Percentage","Units","Normal value","19.2"
"2015","","55-64","Scotland","","","","","Percentage","Units","Normal value","19.6"
"2014","","55-64","Scotland","","","","","Percentage","Units","Normal value","20.1"
"2013","","55-64","Scotland","","","","","Percentage","Units","Normal value","20.1"
"2012","","55-64","Scotland","","","","","Percentage","Units","Normal value","21.8"
"2011","","55-64","Scotland","","","","","Percentage","Units","Normal value","22.7"
"2021","","65+","Scotland","","","","","Percentage","Units","Normal value","9.1"
"2020","","65+","Scotland","","","","","Percentage","Units","Normal value","10.5"
"2019","","65+","Scotland","","","","","Percentage","Units","Normal value","10.4"
"2018","","65+","Scotland","","","","","Percentage","Units","Normal value","10.3"
"2017","","65+","Scotland","","","","","Percentage","Units","Normal value","10.1"
"2016","","65+","Scotland","","","","","Percentage","Units","Normal value","10.7"
"2015","","65+","Scotland","","","","","Percentage","Units","Normal value","11.6"
"2014","","65+","Scotland","","","","","Percentage","Units","Normal value","12.9"
"2013","","65+","Scotland","","","","","Percentage","Units","Normal value","13"
"2012","","65+","Scotland","","","","","Percentage","Units","Normal value","13.1"
"2011","","65+","Scotland","","","","","Percentage","Units","Normal value","13.7"
"2021","","All 18+","Scotland","","","","","Percentage","Units","Normal value","14.8"
"2020","","All 18+","Scotland","","","","","Percentage","Units","Normal value","16"
"2019","","All 18+","Scotland","","","","","Percentage","Units","Normal value","15.4"
"2018","","All 18+","Scotland","","","","","Percentage","Units","Normal value","16.3"
"2017","","All 18+","Scotland","","","","","Percentage","Units","Normal value","16.3"
"2016","","All 18+","Scotland","","","","","Percentage","Units","Normal value","17.7"
"2015","","All 18+","Scotland","","","","","Percentage","Units","Normal value","19.1"
"2014","","All 18+","Scotland","","","","","Percentage","Units","Normal value","20.3"
"2013","","All 18+","Scotland","","","","","Percentage","Units","Normal value","21.5"
"2012","","All 18+","Scotland","","","","","Percentage","Units","Normal value","21.7"
"2011","","All 18+","Scotland","","","","","Percentage","Units","Normal value","23.4"
"2021","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","10.9"
"2020","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","11.2"
"2019","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","17"
"2018","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","13"
"2017","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2016","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","16.8"
"2015","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","19.9"
"2014","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","18.3"
"2013","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","17.6"
"2012","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","18.9"
"2011","","18-24","Northern Ireland","","","","","Percentage","Units","Normal value","18.2"
"2021","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","18.1"
"2020","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2019","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2018","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","16.9"
"2017","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","22.3"
"2016","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","24.3"
"2015","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","25.8"
"2014","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","26"
"2013","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","23.3"
"2012","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","23.6"
"2011","","25-34","Northern Ireland","","","","","Percentage","Units","Normal value","20.7"
"2021","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","14.6"
"2020","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","12.7"
"2019","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","13.9"
"2018","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","16.6"
"2017","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","16.6"
"2016","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","20.5"
"2015","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","19.2"
"2014","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2013","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","20"
"2012","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2011","","35-44","Northern Ireland","","","","","Percentage","Units","Normal value","20.6"
"2021","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","14.1"
"2020","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","17.2"
"2019","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","17.3"
"2018","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","19.8"
"2017","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","18.2"
"2016","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","19.9"
"2015","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","21"
"2014","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","19.2"
"2013","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","19.3"
"2012","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","21.4"
"2011","","45-54","Northern Ireland","","","","","Percentage","Units","Normal value","21"
"2021","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","16.4"
"2020","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","18.7"
"2019","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","19.1"
"2018","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","16.6"
"2017","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","16"
"2016","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2015","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","18.7"
"2014","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","18"
"2013","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","20.1"
"2012","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","19.4"
"2011","","55-64","Northern Ireland","","","","","Percentage","Units","Normal value","21.8"
"2021","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","9.3"
"2020","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","8.9"
"2019","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","9.5"
"2018","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","10.3"
"2017","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","9.3"
"2016","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","9.7"
"2015","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","11.1"
"2014","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","9.1"
"2013","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","11.9"
"2012","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","12.3"
"2011","","65+","Northern Ireland","","","","","Percentage","Units","Normal value","11.6"
"2021","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","13.8"
"2020","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","14.7"
"2019","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","15.6"
"2018","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","15.5"
"2017","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","16.5"
"2016","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","18.1"
"2015","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","19"
"2014","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","18"
"2013","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","18.5"
"2012","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","19.2"
"2011","","All 18+","Northern Ireland","","","","","Percentage","Units","Normal value","18.9"
"2021","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","13.2"
"2020","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","14.7"
"2019","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","16"
"2018","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","16.8"
"2017","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","17.8"
"2016","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","19.3"
"2015","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","20.7"
"2014","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","23.5"
"2013","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","23.5"
"2012","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","25"
"2011","","18-24","United Kingdom","","","","","Percentage","Units","Normal value","25.7"
"2021","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","15.8"
"2020","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","18"
"2019","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","19"
"2018","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","19.2"
"2017","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","19.7"
"2016","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","20.8"
"2015","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","23"
"2014","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","24"
"2013","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","24.6"
"2012","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","25"
"2011","","25-34","United Kingdom","","","","","Percentage","Units","Normal value","25.8"
"2021","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","15.4"
"2020","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","16.3"
"2019","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","15.5"
"2018","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","16.4"
"2017","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","16.9"
"2016","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","18.1"
"2015","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","19.5"
"2014","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","20.1"
"2013","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","21.2"
"2012","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","22.5"
"2011","","35-44","United Kingdom","","","","","Percentage","Units","Normal value","23.3"
"2021","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.5"
"2020","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.8"
"2019","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.9"
"2018","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","16.8"
"2017","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","16.7"
"2016","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","17.3"
"2015","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","19"
"2014","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","19.6"
"2013","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","20.3"
"2012","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","21"
"2011","","45-54","United Kingdom","","","","","Percentage","Units","Normal value","21.6"
"2021","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14"
"2020","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.2"
"2019","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","13.9"
"2018","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.5"
"2017","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.9"
"2016","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","15.1"
"2015","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","16"
"2014","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","16.7"
"2013","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","17.1"
"2012","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","18"
"2011","","55-64","United Kingdom","","","","","Percentage","Units","Normal value","18.5"
"2021","","65+","United Kingdom","","","","","Percentage","Units","Normal value","8"
"2020","","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.1"
"2019","","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.8"
"2018","","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.9"
"2017","","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.1"
"2016","","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.3"
"2015","","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.8"
"2014","","65+","United Kingdom","","","","","Percentage","Units","Normal value","9.3"
"2013","","65+","United Kingdom","","","","","Percentage","Units","Normal value","9.8"
"2012","","65+","United Kingdom","","","","","Percentage","Units","Normal value","10.1"
"2011","","65+","United Kingdom","","","","","Percentage","Units","Normal value","10.2"
"2021","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","13.3"
"2020","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","14"
"2019","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","14.1"
"2018","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","14.7"
"2017","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","15.1"
"2016","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","15.8"
"2015","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","17.2"
"2014","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","18.1"
"2013","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","18.8"
"2012","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","19.6"
"2011","","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","20.2"
