"Year","Series","Country income classification","Observation status","Units","Value"
2017,"Tax revenue from biodiversity-relevant taxes","","Estimated value","USD ($ Millions)",27.03
2017,"Tax revenue from biodiversity-relevant taxes out of total tax revenue","","Estimated value","Percentage (%)",0
2017,"Tax revenue from biodiversity-relevant taxes","","Estimated value","Percent of GDP (%)",0
2018,"Tax revenue from biodiversity-relevant taxes","","Estimated value","GBP (£ Millions)",21
2018,"Tax revenue from biodiversity-relevant taxes","","Estimated value","USD ($ Millions)",28.02
2018,"Tax revenue from biodiversity-relevant taxes out of total tax revenue","","Estimated value","Percentage (%)",0
2018,"Tax revenue from biodiversity-relevant taxes","","Estimated value","Percent of GDP (%)",0
2019,"Tax revenue from biodiversity-relevant taxes","","Estimated value","GBP (£ Millions)",27
2019,"Tax revenue from biodiversity-relevant taxes","","Estimated value","USD ($ Millions)",34.46
2019,"Tax revenue from biodiversity-relevant taxes out of total tax revenue","","Estimated value","Percentage (%)",0
2019,"Tax revenue from biodiversity-relevant taxes","","Estimated value","Percent of GDP (%)",0
2020,"Tax revenue from biodiversity-relevant taxes","","Estimated value","GBP (£ Millions)",27
2020,"Tax revenue from biodiversity-relevant taxes","","Estimated value","USD ($ Millions)",34.62
2020,"Tax revenue from biodiversity-relevant taxes out of total tax revenue","","Estimated value","Percentage (%)",0
2020,"Tax revenue from biodiversity-relevant taxes","","Estimated value","Percent of GDP (%)",0
