"Year","Series","Country income classification","Aid description (CRS code)","Observation status","Units","Value"
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Medical research","Normal value","GBP (£ thousands)",16281.6023942
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","Medical research","Normal value","Constant USD ($ thousands)",23003.3313036446
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","","Normal value","GBP (£ thousands)",127393.4353555
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","LMICs","","Normal value","Constant USD ($ thousands)",179986.792972903
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Basic health","Normal value","GBP (£ thousands)",26165.196009
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Basic health","Normal value","Constant USD ($ thousands)",36967.2872391378
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Medical research","Normal value","GBP (£ thousands)",5220.26382625
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","Medical research","Normal value","Constant USD ($ thousands)",7375.40786098777
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","","Normal value","GBP (£ thousands)",31385.45983525
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Other LICs","","Normal value","Constant USD ($ thousands)",44342.6951001256
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Basic health","Normal value","GBP (£ thousands)",2275.950388
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Basic health","Normal value","Constant USD ($ thousands)",3215.55824409965
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Medical research","Normal value","GBP (£ thousands)",15031.7761295
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","Medical research","Normal value","Constant USD ($ thousands)",21237.5242938178
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","","Normal value","GBP (£ thousands)",17307.7265175
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","UMICs","","Normal value","Constant USD ($ thousands)",24453.0825379174
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Basic health","Normal value","GBP (£ thousands)",199254.25677
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Basic health","Normal value","Constant USD ($ thousands)",281514.777917348
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Medical research","Normal value","GBP (£ thousands)",178560.7347943
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","Medical research","Normal value","Constant USD ($ thousands)",252278.101432983
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","","Normal value","GBP (£ thousands)",377814.9915643
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","Unspecified","","Normal value","Constant USD ($ thousands)",533792.879350331
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Basic health","Normal value","GBP (£ thousands)",520531.6457306
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Basic health","Normal value","Constant USD ($ thousands)",735428.959070872
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Medical research","Normal value","GBP (£ thousands)",247063.20012263
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","Medical research","Normal value","Constant USD ($ thousands)",349061.259927588
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","","Normal value","GBP (£ thousands)",767594.84585323
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries","","","Normal value","Constant USD ($ thousands)",1084490.21899846
