Year,ExtendingAgency,Cross-GovernmentFundSpendingAgency ,BEISDepartment ,BilateralMultilateralBreakdown,RecipientCountryText,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,LongDescription,AmountsExtended(£thousands),AmountsReceived(£thousands),NetODA(£thousands)
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Marshall Islands,Pacific,LMICs,Recipient Government,12000,12000,110,C01,Project-type interventions,Climate Change Resources in Marshall Islands and UK Outreach,41030,410,Multisector,Climate Change Resources in Marshall Islands and UK Outreach,6.52151,0,6.52151
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Mauritius,Africa,UMICs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,Assessement of reefs in rodrigues marine protected area,41030,410,Multisector,Assessement of reefs in rodrigues marine protected area,1.525006,0,1.525006
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Mexico,Americas,UMICs,INTERNATIONAL NGO,21000,21000,110,C01,Project-type interventions,Oxfam,41030,410,Multisector,Oxfam,53.879989,0,53.879989
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Nepal,Asia,LDCs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,Climate Change Conference in Dakar,41030,410,Multisector,Climate Change Conference in Dakar,0.52643,0,0.52643
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Nicaragua,Americas,LMICs,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,20000,110,C01,Project-type interventions,Solar Panels for Nicaraguan rural communities,41030,410,Multisector,Solar Panels for Nicaraguan rural communities,3.71978,0,3.71978
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Nicaragua,Americas,LMICs,Recipient Government,12000,12000,110,D02,Other technical assistance,Presentation of 'Going For Green' to Nicaraguan Olympic Committee,41030,410,Multisector,Presentation of 'Going For Green' to Nicaraguan Olympic Committee,0.33611,0,0.33611
2011,Foreign & Commonwealth Office,#N/A,,Other bilateral,Pakistan,Asia,LMICs,INTERNATIONAL NGO,21000,21000,110,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",Design and Development of Water Sector Local Adaptation Plans of Action (LAPA),41030,410,Multisector,Design and Development of Water Sector Local Adaptation Plans of Action (LAPA),15.25,0,15.25
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,"Africa, regional",Africa,0,Other,50000,50000,110,C01,Project-type interventions,NBSAPs: mainstreaming biodiversity and development,41030,410,Multisector,NBSAPs: mainstreaming biodiversity and development,69.945,0,69.945
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,"Asia, regional",Asia,0,Other,50000,50000,110,C01,Project-type interventions,Addressing the illegal trade in the critically endangered Ustyurt Saiga,41030,410,Multisector,Addressing the illegal trade in the critically endangered Ustyurt Saiga,59.4791,0,59.4791
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,"Asia, regional",Asia,0,Other,50000,50000,110,C01,Project-type interventions,Conserving the critically endangered Bengal Florican - a Terai flagship species,41030,410,Multisector,Conserving the critically endangered Bengal Florican - a Terai flagship species,30.6995,0,30.6995
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Brazil,Americas,UMICs,Other,50000,50000,110,C01,Project-type interventions,Linking research and environmental education to reduce Amazonian wildfires,41030,410,Multisector,Linking research and environmental education to reduce Amazonian wildfires,76.37002,0,76.37002
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Chile,Americas,UMICs,Other,50000,50000,110,C01,Project-type interventions,Protecting galaxiids from salmonid invasions in Chile and the Falklands,41030,410,Multisector,Protecting galaxiids from salmonid invasions in Chile and the Falklands,9.30755,0,9.30755
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Guatemala,Americas,LMICs,Other,50000,50000,110,C01,Project-type interventions,Agroforests: a critical resource for sustaining megadiversity in Guatemala,41030,410,Multisector,Agroforests: a critical resource for sustaining megadiversity in Guatemala,56.40725,0,56.40725
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,India,Asia,LMICs,Other,50000,50000,110,C01,Project-type interventions,Integrated River Dolphin Conservation for Sustainable Ecosystem Services in Brahmaputra,41030,410,Multisector,Integrated River Dolphin Conservation for Sustainable Ecosystem Services in Brahmaputra,39.095,0,39.095
2012,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,India,Asia,LMICs,Other,50000,50000,110,C01,Project-type interventions,Enhancing the relationship between people and pollinators in Eastern India,41030,410,Multisector,Enhancing the relationship between people and pollinators in Eastern India,72.393,0,72.393
2013,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Ecuador,Americas,UMICs,OTHER,50000,50000,110,C01,Project-type interventions,Darwin Main Round,41030,410,Multisector,Darwin Main Round,20.9144,0,20.9144
2013,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Ecuador,Americas,UMICs,OTHER,50000,50000,110,C01,Project-type interventions,Darwin Main Round,41030,410,Multisector,Darwin Main Round,100.00375,0,100.00375
2013,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Ethiopia,Africa,LDCs,OTHER,50000,50000,110,C01,Project-type interventions,Darwin Main Round,41030,410,Multisector,Darwin Main Round,55.24,0,55.24
2013,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Ethiopia,Africa,LDCs,OTHER,50000,50000,110,C01,Project-type interventions,Darwin Main Round,41030,410,Multisector,Darwin Main Round,70.97115,0,70.97115
2013,Department for Environment Food and Rural Affairs,#N/A,,Other bilateral,Ethiopia,Africa,LDCs,OTHER,50000,50000,110,C01,Project-type interventions,Darwin Main Round,41030,410,Multisector,Darwin Main Round,63.849,0,63.849
