Year,ExtendingAgencyText,BEISDepartment,Cross-GovernmentFundSpendingAgency,ActivityIdentifier,RecipientCountryText,RecipientCountryCode,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,SIDBiMultiBreakdown,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),SectorPurposeText,BroadSectorCode,SIDsector,%sector,LongDescription,AmountsExtended,AmountsReceived,HeadlineMeasureofODA(£thousands)
2019,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF_RS_KEN_ICA_ICA\R1\180023,Kenya,248,Africa,LMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,Transboundary collaborations to enhance surveillance and control of major livestock diseases,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Research Grant  Collaboration between UK and Kenya. Identifying areas of geographical risk for livestock diseases in Africa, focussing on footandmouth and anthrax, and devising strategies for surveillance and control. Research will take place in Kenya and Tanzania and will feed into national action plans for both diseases. SDGs 1,2,3,10,12,15,17.",74.6304,0,74.6304
2019,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF_RS_BRA_ICA_ICA\R1\180100,Brazil,431,Americas,UMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,For a Climate Resilient Amazon  “FORAMA”,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Research Grant  Collaboration between UK and Brazil. Working with forestdependent communities in the Amazon to assist recovery of ecosystems that also contribute to the livelihoods of marginalised rural people, and creating practical strategies for supporting resilience in the face of further change. SDGs 1,2,3,5,10,13,15,17.",149.87749,0,149.87749
2019,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF_RS_ZAF_FLAIR_FLR\R1\190673,South Africa,218,Africa,UMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,D02,Other technical assistance,The role of marine ecosystems in improving water quality in rapidly urbanizing coastal regions,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Fellowship award based in South Africa. Identifying and tracking pollution in South Africa's rapidly urbanising coastal regions, and developing tools for effectively communicating water quality data to residents and government. Information from the project will help establish optimum locations of Marine Protected Areas, designed to protect natural resources. SDG 2.",116.68463,0,116.68463
2020,Department for Environment Food and Rural Affairs,,,IWT046,"Asia, regional",798,Asia,Part I unallocated by income,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,"Enhancing enforcement to end tiger trade in South East Asia (Laos, Vietnam, Thailand, China)",41030,Biodiversity,410,Multisector / Cross-Cutting,100,"The project will map transnational criminal networks and leverage the growing international engagement with government agencies in Lao PDR and neighbouring countries, mobilising an effective enforcement response against trafficking and selling wild and captive bred tiger parts and products in and through Lao PDR. ",20,0,20
2020,Department for Environment Food and Rural Affairs,,,IWT047,Angola,225,Africa,LDCs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Developing investigation and prosecution capacity to save Angola’s elephants,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"This project aims to deliver priority actions in Angola’s National Ivory Action Plan and National Elephant Action Plan. It aims to strengthen the criminal justice system for wildlife crime; Investigate, analyse and reduce domestic and trans-boundary ivory trade; and develop sustainable alternative livelihoods for ivory traders. ",34.9025,0,34.9025
2020,Department for Environment Food and Rural Affairs,,,IWT048,Indonesia,738,Asia,LMICs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Tackling the illegal wildlife trade in Muslim Communities in Sumatra,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"This project will improve security and replace lost IWT benefits. The Rimbang Baling Wildlife Reserve is in the Central Sumatra Tiger Conservation Landscape, an area critical to long-term survival of Sumatran tigers.  This project will work with 11 communities in the landscape to reduce poaching of tigers, and of other important species such as pangolins, primates and bears.",39.4045,0,39.4045
2020,Department for Environment Food and Rural Affairs,,,23-023,Uganda,285,Africa,LDCs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Researching links between improved health care in local communities and benefits for local wildlife in Uganda.,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"The role of primary health care in conservation management is understood and strengthened, in order to improve conservation and poverty outcomes in Uganda.",25.8175,0,25.8175
2020,Department for Environment Food and Rural Affairs,,,23-027,Cambodia,728,Asia,LDCs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Cultural and economic incentives for endangered species conservation in Cambodia,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"At least 500 households across 8 indigenous villages in the Cardamom Mountains are positioned to overcome poverty and hunger, and their roles in conserving globally threatened biodiversity are recognised nationally.",21.65197,0,21.65197
2020,Department for Environment Food and Rural Affairs,,,23-033,Indonesia,738,Asia,LMICs,"University, college or other teaching institution, research institute or think?tank",51000,51000,Other bilateral,110,C01,Project-type interventions,Engaging local communities in forest management to conserve Borneo's forests and improve livelihoods.,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"Development of transparent decision-making processes for protecting forests, which meets environmental and developmental goals, incorporates evidence-based and participatory approaches, and can be replicated in other provinces",15.22322,0,15.22322
2020,Department for Environment Food and Rural Affairs,,,24-001,Nigeria,261,Africa,LMICs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Improving forest governance for cross river gorillas and Nigerian Farmers,41030,Biodiversity,410,Multisector / Cross-Cutting,100,The project will protect critically endangered Cross River gorillas by providing economic incentives  (through improved  livelihoods) and governance incentives (through land tenure) for rural communities to improve conservation and governance of a community-managed protected area– Nigeria’s Mbe Mountains - and critically important adjacent forests,53.60891,0,53.60891
2020,Department for Environment Food and Rural Affairs,,,24-002,Kenya,248,Africa,LMICs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,"Cattle, Water, Wildlife: enhancing soci-economic resilience in Laikipia ",41030,Biodiversity,410,Multisector / Cross-Cutting,100,"An inclusive approach to strengthening rangeland and water resource management will contribute to reduced natural resource conflict, safeguard pastoralist cattle-based livelihoods, support innovative livelihood diversification by smallholders, and extend dispersal areas for endangered wildlife including predators and black rhino, in the greater Ol Pejeta Conservancy landscape.",71.84124,0,71.84124
2020,Department for Environment Food and Rural Affairs,,,24-003,Laos,745,Asia,LDCs,INTERNATIONAL NGO,21000,21000,Other bilateral,110,C01,Project-type interventions,Conservation and poverty alleviation through scalable agro-biodiversity practice in Laos,41030,Biodiversity,410,Multisector / Cross-Cutting,100,"This project will deliver sustainable climate-smart forest resource use through promoting scalable agro-biodiversity practices for local communities bordering Laos’ second largest and most biodiverse protected area, Nam Et Phou Louey National Protected Area; leading to greater biodiversity protection, reduced deforestation and improved welfare of vulnerable communities.",76.75675,0,76.75675
