Year,IncomeGroup,TypeofAidCode,TypeofAidText,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,AmountsExtended(£thousands),NetODA(£thousands)
2016,LMICs,D02,Other technical assistance,11110,111,Education,12993.9299,12993.9299
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,12900,12900
2016,UMICs,C01,Project-type interventions,15220,152,Government and Civil Society,12704.394,12704.394
2016,Other LICs,C01,Project-type interventions,41010,410,Multisector,12633.5875,12633.5875
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,12598.8474,12598.8474
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,12500,12500
2016,0,C01,Project-type interventions,14032,140,WASH,12388.4057,12388.4057
2016,LMICs,C01,Project-type interventions,13020,130,Health,12345.417,12345.417
2016,LMICs,C01,Project-type interventions,43081,430,Multisector,12212.5736,12212.5736
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,12203.266,12203.266
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,12195.003,12195.003
2016,LMICs,C01,Project-type interventions,72010,720,Humantarian,12138.8068,12138.8068
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,12089.4336,12089.4336
2016,UMICs,C01,Project-type interventions,11220,112,Education,12000,12000
2016,LMICs,C01,Project-type interventions,11220,112,Education,12000,12000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",24030,240,Economic Infrastructure & Services,12000,12000
2016,0,B02,Core contributions to multilateral institutions,12110,121,Health,11999.8322,11999.8322
2016,Other LICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,11865.3185,11865.3185
2016,LDCs,C01,Project-type interventions,12262,122,Health,11822.471,11822.471
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,11661.916,11661.916
2016,LDCs,D01,Donor country personnel,11220,112,Education,11600,11600
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,11560.483,11560.483
2016,LMICs,C01,Project-type interventions,72040,720,Humantarian,11512.892,11512.892
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,11500,11500
2016,LDCs,C01,Project-type interventions,12262,122,Health,11162.397,11162.397
2016,LDCs,C01,Project-type interventions,11320,113,Education,11047.075,11047.075
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",41010,410,Multisector,11000,11000
2016,0,C01,Project-type interventions,72010,720,Humantarian,10900,10900
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,10844.3,10844.3
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,10625.805,10625.805
2016,0,D02,Other technical assistance,12182,121,Health,10373.9587,10373.9587
2016,LDCs,D02,Other technical assistance,12182,121,Health,10268.3404,10268.3404
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,10217.208,10217.208
2016,LDCs,B04,Basket funds/pooled funding,33120,331,Production Services,10200,10200
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,10200,10200
2016,0,C01,Project-type interventions,72010,720,Humantarian,10175.622,10175.622
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,10160.88,10160.88
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",12182,121,Health,10050,10050
2016,0,C01,Project-type interventions,74010,740,Humantarian,10027.1225,10027.1225
2016,LDCs,C01,Project-type interventions,13020,130,Health,10000,10000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,10000,10000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",16062,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,10000,10000
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14020,140,WASH,10000,10000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",23630,236,Economic Infrastructure & Services,10000,10000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",43010,430,Multisector,10000,10000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,10000,10000
2016,0,B04,Basket funds/pooled funding,24030,240,Economic Infrastructure & Services,9958.312,9958.312
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,9920.578,9920.578
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,9889.4153,9889.4153
2016,0,D02,Other technical assistance,12250,122,Health,9870.916,9870.916
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,9805.7227,9805.7227
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,9800,9800
2016,0,C01,Project-type interventions,12220,122,Health,9700,9700
2016,0,C01,Project-type interventions,13020,130,Health,9530.124,9530.124
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,9500,9500
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,9500,9500
2016,LMICs,C01,Project-type interventions,72010,720,Humantarian,9497.869,9497.869
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,9417.1422,9417.1422
2016,LDCs,C01,Project-type interventions,12110,121,Health,9388.5692,9388.5692
2016,Other LICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,9350,9350
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,9059.76,9059.76
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14031,140,WASH,9049.355,9049.355
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,9017.4136,9017.4136
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12182,121,Health,9000,9000
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,9000,9000
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,9000,9000
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,8981.03,8981.03
2016,LDCs,C01,Project-type interventions,12262,122,Health,8965.005,8965.005
2016,0,B02,Core contributions to multilateral institutions,23110,231,Economic Infrastructure & Services,8878.53,8878.53
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,8838,8838
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,8835.3495,8835.3495
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,8761.152,8761.152
2016,Other LICs,C01,Project-type interventions,13020,130,Health,8659.2076,8659.2076
2016,UMICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,8606.348,8606.348
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,8600,8600
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,8575.4841,8575.4841
2016,LMICs,C01,Project-type interventions,15150,151,Government and Civil Society,8556.0813,8556.0813
2016,0,C01,Project-type interventions,11220,112,Education,8553.8688,8553.8688
2016,LDCs,C01,Project-type interventions,11220,112,Education,8500,8500
2016,0,C01,Project-type interventions,72050,720,Humantarian,8500,8500
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,8500,8500
2016,LMICs,A02,Sector budget support,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,8413.7565,8413.7565
2016,LMICs,C01,Project-type interventions,13020,130,Health,8386.738,8386.738
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",52010,520,Commodity and General Programme Assistance,8382.055,8382.055
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,8378.277,8378.277
2016,0,C01,Project-type interventions,15220,152,Government and Civil Society,8377.716,8377.716
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,8334.8423,8334.8423
2016,0,C01,Project-type interventions,41010,410,Multisector,8312.42,8312.42
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,8250,8250
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,8212.0196,8212.0196
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,8206.9332,8206.9332
2016,LDCs,C01,Project-type interventions,12220,122,Health,8182.828,8182.828
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,8145,8145
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,8141.1524,8141.1524
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",52010,520,Commodity and General Programme Assistance,8139.987,8139.987
2016,LDCs,C01,Project-type interventions,11220,112,Education,8070.7434,8070.7434
2016,LMICs,C01,Project-type interventions,15170,151,Government and Civil Society,8008.4434,8008.4434
2016,LDCs,A02,Sector budget support,12110,121,Health,8000,8000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,8000,8000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12262,122,Health,8000,8000
2016,0,C01,Project-type interventions,12240,122,Health,8000,8000
2016,Other LICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13020,130,Health,8000,8000
2016,LDCs,C01,Project-type interventions,12110,121,Health,7984.7538,7984.7538
2016,Other LICs,B04,Basket funds/pooled funding,25010,250,Economic Infrastructure & Services,7950,7950
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,7918.7046,7918.7046
2016,LDCs,C01,Project-type interventions,12240,122,Health,7900,7900
2016,0,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,7884.088,7884.088
2016,0,C01,Project-type interventions,12220,122,Health,7878.801,7878.801
2016,0,C01,Project-type interventions,31120,311,Production Services,7866.6278,7866.6278
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,7855,7855
2016,Other LICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,7853.1825,7853.1825
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,7821.015,7821.015
2016,LDCs,C01,Project-type interventions,21020,210,Economic Infrastructure & Services,7750,7750
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,7709.769,7709.769
2016,LDCs,C01,Project-type interventions,15150,151,Government and Civil Society,7700,7700
2016,0,C01,Project-type interventions,41010,410,Multisector,7677.946,7677.946
2016,0,C01,Project-type interventions,15153,151,Government and Civil Society,7669.6252,7669.6252
2016,LMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,7627.0332,7627.0332
2016,LDCs,C01,Project-type interventions,11220,112,Education,7620,7620
2016,0,C01,Project-type interventions,41010,410,Multisector,7500,7500
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11110,111,Education,7500,7500
2016,0,C01,Project-type interventions,72040,720,Humantarian,7500,7500
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,7460,7460
2016,LMICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,7370.9095,7370.9095
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15114,151,Government and Civil Society,7343.5,7343.5
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,7341.19,7341.19
2016,LDCs,C01,Project-type interventions,13020,130,Health,7269.1907,7269.1907
2016,LMICs,C01,Project-type interventions,31191,311,Production Services,7224.377,7224.377
2016,0,C01,Project-type interventions,13020,130,Health,7202.504,7202.504
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,7056.4965,7056.4965
2016,LDCs,C01,Project-type interventions,11220,112,Education,7000,7000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,7000,7000
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,7000,7000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14030,140,WASH,7000,7000
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,7000,7000
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11110,111,Education,7000,7000
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,7000,7000
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,7000,7000
2016,Other LICs,B04,Basket funds/pooled funding,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,7000,7000
2016,0,C01,Project-type interventions,15153,151,Government and Civil Society,6989.4045,6989.4045
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31110,311,Production Services,6958.6846,6958.6846
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,6957.368,6957.368
2016,LMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14031,140,WASH,6950.645,6950.645
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,6949.4618,6949.4618
2016,0,C01,Project-type interventions,43082,430,Multisector,6930.1278,6930.1278
2016,0,D02,Other technical assistance,43082,430,Multisector,6930.0001,6930.0001
2016,LMICs,C01,Project-type interventions,72010,720,Humantarian,6912.8905,6912.8905
